日期,红盘,绿盘,涨停,跌停,炸板,3连板以上个股数,3连板,2连板,首板,3连板以上个股,3连板个股,2连板个股,备注
2025-06-18,1813,3478,39,10,17,5,1,5,28,山东墨龙4;金牛化工4;协鑫能科4;贝肯能源4;准油股份4,东信和平,深华发Ａ;邦基科技;诺德股份;浙江东日;莫高股份,
2025-06-19,715,4646,34,12,14,2,1,5,26,山东墨龙5;准油股份5,诺德股份,长城军工;时代出版;北方长龙;逸豪新材;中京电子,
2025-06-20,1541,3647,45,12,12,2,2,4,37,山东墨龙6;诺德股份4,长城军工;中京电子,海科新源;湘潭电化;兴业股份;茂化实华,
2025-06-23,4446,843,72,0,15,3,3,11,55,山东墨龙7;诺德股份5;长城军工4,湘潭电化;兴业股份;茂化实华,新通联;英联股份;建业股份;新亚强;美诺华;天顺股份;保税科技;浙江东日;兴通股份;宁波海运;安妮股份,
2025-06-24,4770,578,72,18,19,3,5,6,58,诺德股份6;湘潭电化4;兴业股份4,英联股份;新通联;建业股份;新亚强;浙江东日,顺灏股份;泰和科技;欢瑞世纪;海联金汇;金龙羽;吉大正元,
2025-06-25,3919,1283,69,3,16,5,3,13,48,诺德股份7;兴业股份5;湘潭电化5;英联股份4;新通联4,泰和科技;海联金汇;吉大正元,永安行;天利科技;合力泰;大东南;弘业期货;瑞玛精密;联诚精密;浙江世宝;天际股份;龙蟠科技;恒银科技;湘财股份;国盛金控,
2025-06-26,1621,3608,63,2,23,2,5,15,41,新通联5;吉大正元4,合力泰;大东南;弘业期货;天际股份;国盛金控,长城军工;中光学;银座股份;沧州明珠;南华期货;爱建集团;瑞达期货;湖南天雁;建设工业;好上好;万里马;国瑞科技;京北方;*ST广道;北方导航,
2025-06-27,3380,1772,54,3,27,2,2,5,45,大东南4;弘业期货4,爱建集团;好上好,诚邦股份;渤海汽车;飞亚达;时代万恒;中光防雷,
2025-06-30,4055,1127,78,4,15,3,4,7,64,大东南5;弘业期货5;好上好4,诚邦股份;飞亚达;时代万恒;中光防雷,内蒙一机;霍普股份;澳弘电子;中京电子;维科技术;际华集团;恒宇信通,
2025-07-01,2629,2544,66,3,27,1,1,12,52,诚邦股份4,际华集团,利君股份;长城军工;雪迪龙;常青科技;凯美特气;亚星化学;创新医疗;西上海;再升科技;长城电工;四创电子;吉鑫科技,
2025-07-02,1945,3283,60,8,16,1,7,4,48,诚邦股份5,雪迪龙;凯美特气;亚星化学;西上海;再升科技;长城电工;吉鑫科技,康达新材;昂利康;塞力医疗;柳钢股份,
2025-07-03,3270,1866,62,2,14,3,2,9,48,诚邦股份6;雪迪龙4;吉鑫科技4,塞力医疗;柳钢股份,亿晶光电;亚玛顿;百洋股份;诚意药业;美诺华;南山控股;精艺股份;耀皮玻璃;巨力索具,
2025-07-04,1169,4119,41,10,21,2,1,7,31,塞力医疗4;柳钢股份4,亚玛顿,广生堂;卫信康;金一文化;华银电力;金安国纪;华光环能;森林包装,
2025-07-07,3177,1929,67,2,11,0,5,7,55,,金一文化;华银电力;金安国纪;华光环能;森林包装,信雅达;新中港;兄弟科技;九鼎新材;韶能股份;深南电A;京北方,
2025-07-08,4282,981,67,1,15,4,2,11,50,华银电力4;金安国纪4;华光环能4;森林包装4,新中港;九鼎新材,天元股份;联环药业;永安期货;渝 开 发;四方新材;新亚电子;沃顿科技;宏和科技;金时科技;欣灵电气;国投中鲁,
2025-07-09,1855,3327,54,2,30,5,4,9,36,华银电力5;华光环能5;金安国纪5;森林包装5;新中港4,渝 开 发;四方新材;金时科技;国投中鲁,拓日新能;亿晶光电;朗迪集团;华媒控股;精艺股份;长春一东;大智慧;日发精机;金岭矿业,
2025-07-10,2947,2278,62,5,20,5,3,10,44,华光环能6;森林包装6;渝 开 发4;四方新材4;国投中鲁4,拓日新能;华媒控股;金岭矿业,国义招标;国晟科技;上纬新材;南华期货;新城市;美丽生态;欢瑞世纪;科陆电子;赫美集团;跨境通,
2025-07-11,2959,2206,62,5,27,3,5,9,45,四方新材5;国投中鲁5;华媒控股4,国晟科技;上纬新材;南华期货;美丽生态;赫美集团,京运通;宏柏新材;晨光新材;联环药业;北方稀土;绿地控股;光大嘉宝;东宏股份;中银证券,
2025-07-14,3178,2064,64,9,20,2,4,13,45,国晟科技4;上纬新材4,京运通;晨光新材;联环药业;绿地控股,达 意 隆;中远海科;汇通集团;卧龙新能;市北高新;上海物贸;华宏科技;豫能控股;湖南白银;兰生股份;退市九有;中大力德;绿田机械,
2025-07-15,1331,4017,43,16,22,1,6,4,32,上纬新材5,达 意 隆;汇通集团;上海物贸;华宏科技;兰生股份;绿田机械,诚意药业;三和管桩;楚天龙;潍柴重机,
2025-07-16,3278,1928,55,2,22,5,1,7,42,上纬新材6;达 意 隆4;上海物贸4;华宏科技4;兰生股份4,潍柴重机,力生制药;奥赛康;万邦德;中新集团;金时科技;联发股份;中电港,
2025-07-17,3536,1610,58,1,27,3,2,11,42,上纬新材7;上海物贸5;兰生股份5,力生制药;联发股份,电光科技;生物股份;亚太药业;浙江震元;英利汽车;浙江黎明;海星股份;天宸股份;君禾股份;鸿博股份;皇氏集团,
2025-07-18,2602,2567,46,1,20,2,2,9,33,上纬新材8;兰生股份6,海星股份;天宸股份,美邦股份;北化股份;XD沧州大;人民同泰;汉商集团;建设工业;海航科技;延华智能;柳钢股份,
2025-07-21,4005,1290,121,1,21,1,5,6,109,上纬新材9,美邦股份;北化股份;人民同泰;建设工业;柳钢股份,南矿集团;国机通用;昂利康;华建集团;汇通集团;华宏科技,
