序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,002336,人乐退,-8.88888931274414,0.41,15415139,180400000.0,180400000.0,-0.5664641261100769,8.448590278625488,32634,145430,87162255,3,3,商业百货,2025-06-18
2,603637,镇海股份,-9.982332229614258,10.19,271802368,2432209086.63,2432209086.63,102.59424591064453,11.01020336151123,474854,145631,83073034,1,47,工程建设,2025-06-18
3,603818,曲美家居,-9.8989896774292,4.46,423956752,3061985593.3,3072323877.7599998,-180.6908416748047,13.275681495666504,1800056,144549,28173819,1,5,装修建材,2025-06-18
4,600366,宁波韵升,-9.991532325744629,10.63,2443654992,11300136842.68,11682806425.28,78.47643280029297,21.09646224975586,8412794,145448,296937845,1,3,小金属,2025-06-18
5,000701,厦门信达,-10.055096626281738,6.53,947695168,4360120545.68,4413020389.12,136.93582153320312,20.96031951904297,8626384,145309,126525021,1,6,商业百货,2025-06-18
6,600326,西藏天路,-10.011507987976074,7.82,1218598432,10341890177.0,10348544199.36,-20.857255935668945,11.42495346069336,17270188,144638,175042107,1,10,水泥建材,2025-06-18
7,600281,华阳新材,-9.940828323364258,7.61,1123457296,3914599410.25,3914599463.52,9.903837203979492,27.742605209350586,23023301,143953,71730718,1,0,小金属,2025-06-18
8,603585,苏利股份,-9.991673469543457,21.62,469905088,3891673356.6600003,3974910356.6600003,29.113550186157227,11.776764869689941,29961839,130948,95291878,1,3,农药兽药,2025-06-18
9,002827,高争民爆,-9.991854667663574,33.15,664698736,9149362706.25,9149400000.0,129.7865447998047,7.066534042358398,48753439,132006,82583280,1,4,化学制品,2025-06-18
10,002250,联化科技,-9.977151870727539,11.82,2334945216,10715233723.92,10771957478.4,54.16794204711914,20.81361961364746,51616592,141639,340148863,1,10,农药兽药,2025-06-18
