序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,603693,江苏新能,-10.0,14.22,803465408,12676787013.6,12676787127.36,22.42939567565918,6.217813968658447,74882,145610,217576366,1,8,电力行业,2025-04-09
2,600215,派斯林,-10.044642448425293,8.06,653509024,3682476012.8,3731742730.5600004,32.6104736328125,17.638076782226562,296608,145518,1179598261,2,15,通用设备,2025-04-09
3,003030,祖名股份,-10.0,18.81,321411168,1523579433.75,2347111800.0,-145.99978637695312,20.824033737182617,4546377,145424,187840422,1,6,食品饮料,2025-04-09
4,002549,凯美特气,-9.975469589233398,11.01,2193550864,7622878381.26,7655780423.04,-172.51866149902344,28.433652877807617,32512629,145142,2034154593,1,15,化学制品,2025-04-09
5,002923,润都股份,-10.0,14.22,535474992,3669966325.26,4762182441.6,96.06207275390625,14.514631271362305,36992149,143918,410239931,1,8,化学制药,2025-04-09
6,300871,回盛生物,-19.99425506591797,27.85,1143243536,4766440663.7,4766440663.7,-75.00959777832031,23.0217342376709,64830121,144251,165991733,1,2,农药兽药,2025-04-09
