序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,603776,永安行,-9.974093437194824,13.9,268025837,3327624096.3,3327624096.3,-83.38508605957031,7.891761302947998,231004,150000,1020010226,1,1,专业服务,2025-03-03
2,603319,湘油泵,-9.994926452636719,35.48,1159370144,7791540908.079999,7810453593.039999,40.68938064575195,14.589357376098633,7663538,145652,199618780,2,6,汽车零部,2025-03-03
3,000679,大连友谊,-9.951457023620605,7.42,199194958,2644488000.0,2644488000.0,-47.97421646118164,7.346817970275879,10620624,145230,15631714,1,2,商业百货,2025-03-03
4,002290,禾盛新材,-10.0,22.32,618344080,5518616205.6,5537867205.6,48.3984375,10.615142822265625,13329504,143724,34310304,1,0,家电行业,2025-03-03
5,000573,粤宏远Ａ,-9.979633331298828,4.42,674674560,2797704499.98,2821200287.36,-54.58793258666992,23.260841369628906,13634091,134133,213558488,1,3,房地产开,2025-03-03
6,002501,利源股份,-9.865470886230469,2.01,759834592,7135498002.059999,7135499999.999999,-45.89951705932617,10.447178840637207,15140670,143048,111161442,3,0,有色金属,2025-03-03
7,600076,康欣新材,-10.12145709991455,2.22,267505288,2984886274.7400002,2984886259.2000003,-17.839855194091797,8.791349411010742,16313450,133444,2309724186,1,1,装修建材,2025-03-03
8,002910,庄园牧场,-10.033726692199707,10.67,498543552,1825231006.5,2086404832.49,-13.218446731567383,26.154760360717773,21328636,134709,155360535,1,9,食品饮料,2025-03-03
9,000096,广聚能源,-10.0,19.8,409975120,10114790400.0,10454400000.0,117.17890930175781,4.0034708976745605,26487568,143603,290454099,1,7,石油行业,2025-03-03
10,600302,标准股份,-9.949409484863281,5.34,232848599,1847692353.36,1847692374.72,-29.05882453918457,12.549607276916504,33523462,130337,432058228,2,9,专用设备,2025-03-03
11,002298,中电鑫龙,-9.948979377746582,7.06,1901205280,4614877836.96,5225182925.759999,-10.423847198486328,39.44664001464844,34901533,143530,422004954,1,12,软件开发,2025-03-03
12,603956,威派格,-9.947644233703613,8.6,625350064,4550781512.599999,4550781504.0,-21.86207389831543,13.42273998260498,36592114,133330,107794111,1,2,专用设备,2025-03-03
13,002881,美格智能,-10.0,51.03,1492304096,9239479246.62,13359748099.32,109.67830657958984,16.006622314453125,50761990,140345,513855612,1,24,消费电子,2025-03-03
14,000892,欢瑞世纪,-9.88505744934082,3.92,363066944,2786478899.68,3845443481.6,-53.4654655456543,12.906288146972656,58056717,110627,276729266,2,0,文化传媒,2025-03-03
15,605300,佳禾食品,-9.983721733093262,16.59,153962958,6636165900.0,6636165900.0,60.215179443359375,2.272322416305542,58330838,093432,80891180,1,1,食品饮料,2025-03-03
16,603660,苏州科达,-9.957627296447754,8.5,910638768,4524806725.5,4561300192.0,-9.605539321899414,19.389720916748047,69749402,110530,93864964,1,0,计算机设,2025-03-03
17,002527,新时达,-9.976798057556152,15.52,1532474704,8212881856.639999,10290711313.92,-182.1857452392578,18.276973724365234,71022624,141406,150042424,1,4,专用设备,2025-03-03
18,300280,紫天科技,-19.986169815063477,11.57,310081152,1856686135.3300002,1875100658.0800002,166.11203002929688,16.45643424987793,72345972,095003,532737179,1,0,文化传媒,2025-03-03
19,001309,德明利,-10.0,141.75,1794559584,12422424687.75,22931276256.0,40.783084869384766,13.968002319335938,73130384,142333,85347675,1,0,半导体,2025-03-03
20,605398,新炬网络,-10.0,36.63,595542672,5960300962.77,5960300962.77,179.83790588378906,9.895756721496582,80906329,110345,970606901,1,9,互联网服,2025-03-03
21,002896,中大力德,-9.996177673339844,94.18,1981558896,14237311621.300001,14237311621.300001,187.53927612304688,13.639558792114258,83261147,134539,2431567494,2,3,通用设备,2025-03-03
22,600589,大位科技,-9.986504554748535,6.67,2323086816,9861394166.3,9861394152.96,-265.98455810546875,23.106876373291016,133504112,133951,3196562599,1,11,互联网服,2025-03-03
23,600126,杭钢股份,-9.962264060974121,11.93,4039492976,40289865760.19,40289865819.84,-67.64156341552734,9.908492088317871,411172066,134526,18624948341,2,6,钢铁行业,2025-03-03
24,600811,东方集团,-9.813084602355957,1.93,108911058,7061377724.55,7061377711.04,40.35203170776367,1.5423486232757568,1953258661,092501,1876972671,1,0,农牧饲渔,2025-03-03
