序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,605188,国光连锁,-9.93630599975586,7.07,91148564,3503750600.0,3503750600.0,321.1410217285156,2.5471367835998535,152712,144722,5187259,1,0,商业百货,2025-01-03
2,603630,拉芳家化,-10.00735855102539,12.23,227496978,2754252013.4,2754252013.4,37.80847930908203,7.9080586433410645,595601,145634,7993674,1,2,美容护理,2025-01-03
3,603721,中广天择,-10.0,23.4,230818380,3042000000.0,3042000000.0,-2377.71630859375,7.283353805541992,1115244,145223,17843436,1,0,文化传媒,2025-01-03
4,002629,仁智股份,-10.070257186889648,3.84,156482942,1326416060.1599998,1676728320.0,-122.0337905883789,11.462530136108398,1152000,145318,10185600,1,0,采掘行业,2025-01-03
5,002012,凯恩股份,-9.9609375,4.61,136710569,2150738525.01,2155753425.92,88.32563018798828,6.104351997375488,1204593,145621,4645036,1,1,造纸印刷,2025-01-03
6,002046,国机精工,-9.971305847167969,12.55,489709312,6599668286.650001,6638421293.6,24.34339141845703,7.124629497528076,1598870,144927,25408730,1,4,通用设备,2025-01-03
7,600712,南宁百货,-9.932886123657227,6.71,303189904,3614330569.41,3654637465.6,486.6713562011719,8.177654266357422,1821765,144336,61282560,1,12,商业百货,2025-01-03
8,603536,惠发食品,-10.0,11.07,342891648,2662692118.2000003,2708190261.0,-71.91136169433594,12.594864845275879,2088388,144933,51008300,1,3,食品饮料,2025-01-03
9,603863,松炀资源,-9.985315322875977,18.39,189164823,3763513500.0,3763513500.0,-26.97345733642578,4.869052886962891,2688618,144837,35439369,1,5,造纸印刷,2025-01-03
10,603206,嘉环科技,-10.0,15.3,159775572,1334159816.4,4669559755.2,46.49158477783203,11.531989097595215,3179340,145557,5806196,1,2,通信服务,2025-01-03
11,603711,香飘飘,-10.023041725158691,15.62,402605424,6439424662.0,6439424724.48,272.3567810058594,6.097465991973877,3534806,145025,73810748,1,8,食品饮料,2025-01-03
12,600696,岩石股份,-10.016155242919922,11.14,162388597,3725989461.34,3725989383.36,-36.98396682739258,4.23336124420166,3626070,144521,17064262,1,8,酿酒行业,2025-01-03
13,000815,美利云,-9.990917205810547,9.91,426614960,6890056676.85,6890056726.400001,-519.8291625976562,5.995673656463623,3899585,145436,36090911,1,3,造纸印刷,2025-01-03
14,002137,实益达,-9.965636253356934,7.86,1108596928,3116167394.1600003,4539188105.28,126.21773529052734,34.33161926269531,4918002,145548,124971642,1,2,电子元件,2025-01-03
15,603936,博敏电子,-10.024752616882324,7.27,326229712,4582993489.08,4582993460.0,67.44488525390625,6.861361980438232,4989401,144753,29351171,1,5,电子元件,2025-01-03
16,000558,莱茵体育,-9.85915470123291,3.2,474362368,4123790745.6000004,4125516646.4,-349.9305419921875,11.304473876953125,5049609,144906,77328230,1,3,旅游酒店,2025-01-03
17,601798,蓝科高新,-10.055096626281738,6.53,177703990,2315069132.94,2315069093.76,-83.8876724243164,7.486290454864502,5231836,135628,26976251,1,6,专用设备,2025-01-03
18,002868,绿康生化,-10.022148132324219,16.25,167101675,2484082087.5,2525507351.25,-12.06589412689209,6.504952907562256,5352701,140954,343590000,1,6,农药兽药,2025-01-03
19,603021,山东华鹏,-10.045661926269531,3.94,77719713,1260595395.8,1260595372.16,-9.7214937210083,6.028296947479248,6159402,112111,85299422,1,5,玻璃玻纤,2025-01-03
20,002491,通鼎互联,-9.935205459594727,4.17,300181760,4905875192.07,5129077048.32,473.98419189453125,5.927595138549805,6464621,144154,34028030,1,8,通信设备,2025-01-03
21,600830,香溢融通,-10.009267807006836,9.71,413775984,4411473873.370001,4411473921.92,57.761085510253906,9.177132606506348,6750275,144607,58583340,1,6,多元金融,2025-01-03
22,600405,动力源,-10.0,5.22,245124079,2888097838.56,3198970428.48,-15.290599822998047,8.294474601745605,6961699,142805,25608750,1,0,电源设备,2025-01-03
23,002798,帝欧家居,-10.023309707641602,3.86,151865294,1252457623.82,1521588901.76,-8.109779357910156,11.876359939575195,7307632,134833,46114544,1,11,装修建材,2025-01-03
24,002344,海宁皮城,-10.06289291381836,4.29,312233392,5497420894.68,5502426758.4,57.22006607055664,5.529123783111572,7538817,144257,29007264,1,8,商业百货,2025-01-03
25,603057,紫燕食品,-10.019550323486328,18.41,205255626,1253020039.25,7626535731.36,16.3908634185791,15.997722625732422,7701805,143036,16449335,1,3,食品饮料,2025-01-03
26,600191,华资实业,-9.986859321594238,6.85,375012608,3321784200.0,3321784200.0,57.395938873291016,10.706607818603516,7812616,143021,37374970,1,1,农牧饲渔,2025-01-03
27,002995,天地在线,-10.01765251159668,20.39,405618128,2292186871.12,3618296847.2000003,-87.5481948852539,17.159971237182617,7849742,143048,54562008,1,4,文化传媒,2025-01-03
28,605179,一鸣食品,-10.0,18.72,462320656,7506720000.0,7506720000.0,152.54946899414062,6.052109241485596,9343152,144030,99032544,1,9,食品饮料,2025-01-03
29,002419,天虹股份,-9.949409484863281,5.34,286321248,6240777168.42,6241646952.96,39.55580139160156,4.480630397796631,9383917,143021,44448086,1,10,商业百货,2025-01-03
30,603759,海天股份,-9.953161239624023,7.69,225080188,3550934400.0,3550934400.0,18.420259475708008,6.081961154937744,9863555,142741,21740398,1,1,公用事业,2025-01-03
31,600609,金杯汽车,-10.056657791137695,6.35,447963744,8326123543.299999,8326123556.0,21.408554077148438,5.1851043701171875,10504805,143206,44107474,1,2,汽车零部,2025-01-03
32,600697,欧亚集团,-10.022438049316406,12.03,144130699,1869173460.4499998,1913829542.25,81.1960678100586,7.545830726623535,10596372,140109,8455887,1,1,商业百货,2025-01-03
33,002227,奥 特 迅,-9.957447052001953,10.58,160325038,2620017795.14,2621789278.6,-83.9834976196289,5.966513156890869,10868834,112327,34380768,1,1,电源设备,2025-01-03
