序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,603192,汇得科技,-10.0,23.67,495216720,3282240007.8900003,3341107297.8900003,43.1944694519043,14.75635051727295,10033239,145157,2056460423,1,3,化学制品,2025-05-29
2,603900,莱绅通灵,-10.0,12.15,888572240,4149332406.0,4167739656.0,36.76893615722656,21.034072875976562,19794780,144840,500351094,1,1,珠宝首饰,2025-05-29
3,603332,苏州龙杰,-10.0,18.9,926416672,4088961777.6,4088961777.6,77.92898559570312,21.929492950439453,19981458,145556,1711145366,1,1,化纤行业,2025-05-29
4,000096,广聚能源,-10.0,15.03,638063056,7678045440.0,7935840000.0,136.8508758544922,8.260187149047852,52824438,140409,155485350,2,8,石油行业,2025-05-29
5,002365,永安药业,-9.98781967163086,22.17,1610426048,5444067439.17,6533110936.320001,-373.989013671875,29.156522750854492,171692616,132633,444836393,1,6,化学制药,2025-05-29
