序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600183,生益科技,-9.993292808532715,26.84,1668252912,63646735592.88,65204036571.52,35.63722229003906,2.5842301845550537,2912274,145651,266035931,1,46,电子元件,2025-02-05
2,601156,东航物流,-10.006101608276367,14.75,952378512,13932784451.0,23416444392.0,8.496480941772461,6.680016994476318,3855650,143345,131277109,1,9,物流行业,2025-02-05
3,002905,金逸影视,-9.94962215423584,7.15,119392749,2498496000.0,2690688000.0,-18.692163467407227,4.647812843322754,4592845,134121,20113233,1,5,文化传媒,2025-02-05
4,000573,粤宏远Ａ,-9.90654182434082,4.82,312098800,3050890427.5800004,3076512530.5600004,-59.528018951416016,10.070899963378906,24391966,112445,404665470,1,6,房地产开,2025-02-05
5,002862,实丰文化,-10.0,35.64,703539616,3213911238.12,4276800000.0,709.2269287109375,20.57246971130371,29745144,144854,57794109,1,2,家用轻工,2025-02-05
6,002917,金奥博,-10.024154663085938,14.9,888544576,3882123941.9,5179451460.8,36.07752990722656,22.653364181518555,30046907,143124,837529308,2,17,化学制品,2025-02-05
7,002730,电光科技,-9.978307723999023,20.75,1599426144,7180120010.0,7513157676.0,83.8584976196289,21.71586799621582,31308430,145221,696807825,1,7,专用设备,2025-02-05
8,002364,中恒电气,-9.962825775146484,12.11,740992048,6758644707.849999,6824771665.599999,59.531490325927734,10.905486106872559,33274174,134139,538969812,1,19,电源设备,2025-02-05
9,000759,中百集团,-10.011507987976074,7.82,907363120,5127621115.5,5239178662.72,-11.851369857788086,17.388141632080078,33940582,141821,228794336,1,8,商业百货,2025-02-05
10,603103,横店影视,-9.96610164642334,13.28,83596164,8422176000.0,8422176000.0,363.2959289550781,0.9840902090072632,40298465,093940,293553789,1,3,文化传媒,2025-02-05
11,603228,景旺电子,-9.985444068908691,30.92,1143274480,28464977107.04,28833899334.4,23.910852432250977,3.970482349395752,49266691,102914,137362499,1,5,电子元件,2025-02-05
12,603306,华懋科技,-10.007758140563965,34.8,860282384,11448143124.0,11448143193.599998,43.773685455322266,7.2811737060546875,53618343,134637,25894680,1,0,汽车零部,2025-02-05
13,603516,淳中科技,-10.001754760742188,51.29,573265760,10352464844.91,10352464844.91,150.73338317871094,5.488271236419678,59248156,102835,3442296548,1,8,计算机设,2025-02-05
14,600673,东阳光,-9.966499328613281,10.75,414341088,32266747715.25,32399148252.0,77.76856231689453,1.2689638137817383,68923033,095750,131808975,1,3,综合行业,2025-02-05
15,603308,应流股份,-9.982094764709473,20.11,87073910,13655422828.51,13655422969.279999,45.156036376953125,0.6320573687553406,80285233,093103,61912657,1,1,通用设备,2025-02-05
16,001330,博纳影业,-10.067113876342773,5.36,75612176,5655754535.6,7367421797.120001,-15.59308910369873,1.3365989923477173,84462145,093112,385363096,1,1,文化传媒,2025-02-05
17,600696,岩石股份,-10.010649681091309,8.45,23998845,2826266691.95,2826266632.7999997,-28.05336570739746,0.8491358757019043,103754677,092501,184223520,2,0,酿酒行业,2025-02-05
18,603211,晋拓股份,-9.981343269348145,19.3,89540229,1311473600.0,5245894400.0,91.34815979003906,6.816134929656982,113147157,093100,1449760030,2,0,汽车零部,2025-02-05
19,603042,华脉科技,-10.013350486755371,13.48,398205312,2164751043.2000003,2164751043.2000003,-198.06675720214844,18.33478355407715,121255848,130127,2631389012,2,2,通信设备,2025-02-05
20,002484,江海股份,-9.987516403198242,21.63,289266192,17746896204.45,18396832735.68,27.90941619873047,1.6060189008712769,126278968,093100,1020983586,1,0,电子元件,2025-02-05
21,002112,三变科技,-10.007147789001465,12.59,300947504,3299587200.0,3299587200.0,31.529130935668945,9.012019157409668,143801947,093303,145170254,1,0,电网设备,2025-02-05
22,000802,北京文化,-10.0,6.3,39485880,4507431106.5,4510171612.8,-84.75519561767578,0.8760173916816711,169790594,092500,388766070,1,0,文化传媒,2025-02-05
23,605277,新亚电子,-9.972145080566406,16.16,142926304,5073955083.04,5240643786.24,38.8155403137207,2.8153810501098633,229543815,093035,2728021132,2,1,消费电子,2025-02-05
24,603928,兴业股份,-10.022953033447266,11.76,22313424,3082060800.0,3082060800.0,63.18638229370117,0.7239773869514465,247224705,092503,902898696,2,0,塑料制品,2025-02-05
25,002519,银河电子,-9.90654182434082,4.82,52565956,5388208235.320001,5429396918.72,28.686756134033203,0.9755739569664001,265437477,092500,327411514,2,0,通信设备,2025-02-05
26,000856,冀东装备,-9.976433753967285,11.46,409654560,2601420000.0,2601420000.0,173.65292358398438,15.74347972869873,268422961,130030,1400423127,1,1,专用设备,2025-02-05
27,601869,长飞光纤,-10.0,37.62,140604302,15286447372.679998,28512390012.48,37.323970794677734,0.9121217131614685,280617398,093054,472992498,1,0,通信设备,2025-02-05
28,002851,麦格米特,-9.993634223937988,56.56,468875600,25818446979.920002,30860151365.120003,56.29401397705078,1.8158780336380005,542154635,093054,1777171307,1,1,电源设备,2025-02-05
29,000882,华联股份,-10.059171676635742,3.04,308679776,8315963368.64,8321549934.08,206.4657745361328,3.7118942737579346,577188536,092500,1032673104,2,0,商业百货,2025-02-05
30,603063,禾望电气,-10.0,28.44,66347676,12627511556.76,12627511528.32,37.3864631652832,0.5254216194152832,590295321,092502,847176408,1,0,风电设备,2025-02-05
31,002130,沃尔核材,-9.988248825073242,22.98,1707992032,28705446984.420002,28952468908.8,33.14684295654297,5.900792598724365,594138294,093330,4494414612,2,0,非金属材,2025-02-05
