序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,002069,獐子岛,-10.0,4.68,501855984,3323811787.9199996,3328005058.56,-77.100341796875,14.99881362915039,23904036,135427,207370804,1,8,农牧饲渔,2025-11-25
2,001216,华瓷股份,-10.0,18.18,665571136,4464157157.82,4578936606.0,18.168712615966797,14.69883918762207,26148294,134027,74924579,2,0,装修建材,2025-11-25
3,000798,中水渔业,-10.0,14.94,1165657712,5465593007.28,5465929276.8,76.75700378417969,20.99776840209961,82966227,134806,460558186,1,5,农牧饲渔,2025-11-25
4,000048,京基智农,-10.02538013458252,14.18,229930765,7463779128.0,7519402390.08,18.93346405029297,2.97823166847229,101690806,094700,110701842,1,0,农牧饲渔,2025-11-25
