类别,周一0127,周二0128,周三0129,周四0130,周五0131
市场焦点股,"冀凯股份 10天8板;
冀东装备 6连板;
新炬网络 4连板;",,,,
AI智能体,"7只;
新炬网络 4天4板;
泛微网络 2天2板;
金财互联 2天2板;",,,,
机器人,"6只;
冀凯股份 10天8板;
冀东装备 6天6板;
华纬科技 2天2板;",,,,
人工智能,"5只;
垒知集团 3天3板;
正和生态 2天2板;",,,,
幻方AI,"4只;
美格智能 2天2板;",,,,
业绩超预期,4只;,,,,
房地产概念,3只;,,,,
并购重组,"3只;
广西广电 6天4板;",,,,
数据中心,3只;,,,,
