类别,周一1110,周二1111,周三1112,周四1113,周五1114
市场焦点股,"盈新发展 16天11板;
摩恩电气 5连板;
洪兴股份 4连板;
闽东电力 5天4板;","合富中国 11天10板;
摩恩电气 6连板;
孚日股份 4连板;","合富中国 12天11板2连板;
摩恩电气 7连板;
孚日股份 5连板;
三木集团 8天5板4连板;","合富中国 13天12板3连板;
安泰集团 21天12板3连板;
摩恩电气 8连板;
孚日股份 6连板;
三木集团 9天6板5连板;
海马汽车 10天6板;","平潭发展 21天13板2连板;
安泰集团 22天13板4连板;
孚日股份 7连板;
三木集团 10天7板6连板;
东百集团 8天6板5连板;"
锂电池,"11只;
孚日股份 3天3板;
安纳达 2天2板;
天际股份 2天2板;
华盛锂电 3天2板;","9只;
孚日股份 4天4板;
国城矿业 2天2板;
永太科技 3天2板;","5只;
孚日股份 5天5板;
天际股份 4天3板;","27只;
孚日股份 6天6板;
国城矿业 4天3板;
永太科技 5天3板;
华盛锂电 6天3板;
石大胜华 2天2板;
胜利精密 4天2板;","10只;
孚日股份 7天7板;
丰元股份 8天4板;
石大胜华 3天3板;
大中矿业 2天2板;
粤桂股份 3天2板;"
食品饮料,10只;,"7只;
三元股份 2天2板;
浙江东日 2天2板;
中锐股份 2天2板;
欢乐家 2天2板;","4只;
三元股份 3天3板;
中锐股份 3天3板;
浙江东日 3天3板;
中粮糖业 2天2板;",,
存储器,"8只;
盈新发展 16天11板;",,,3只;,
福建,"8只;
闽东电力 5天4板;
厦工股份 5天3板;
三木集团 6天3板;
东百集团 4天2板;","4只;
三木集团 7天4板;
东百集团 5天3板;
三祥新材 3天2板;","5只;
三木集团 8天5板;
东百集团 6天4板;","11只;
三木集团 9天6板;
东百集团 7天5板;
厦工股份 8天4板;
闽发铝业 8天4板;
九牧王 2天2板;","9只;
三木集团 10天7板;
东百集团 8天6板;
九牧王 3天3板;
九州股份 2天2板;
龙洲股份 2天2板;
平潭发展 2天2板;"
光伏,"7只;
弘元绿能 2天2板;","14只;
国晟科技 2天2板;
三孚股份 2天2板;
金辰股份 2天2板;
亿晶光电 3天2板;","3只;
国晟科技 3天3板;
中利集团 2天2板;
海螺新材 2天2板;",,"3只;
国晟科技 5天5板;"
医药,5只;,,"4只;
合富中国 12天11板;
人民同泰 3天3板;","3只;
合富中国 13天12板;
人民同泰 4天4板;
盘龙药业 2天2板;","4只;
人民同泰 5天5板;"
低价股,"4只;
重庆建工 3天3板;",,,,
化工,4只;,,,,
AI应用,4只;,,,,
旅游酒店,3只;,,,,
磷化工,"2只;
澄星股份 3天3板;
清水源 3天3板;",,,,
芯片产业链,2只;,"4只;
神工股份 2天2板;",4只;,,
智能电网,"2只;
摩恩电气 5天5板;
顺钠股份 4天3板;","3只;
摩恩电气 6天6板;","2只;
摩恩电气 7天7板;",,
其他,"洪兴股份 4天4板;
四川金顶 2天2板;
金安国纪 4天2板;","合富中国 11天10板;
维信诺 2天2板;
人民同泰 2天2板;
线上线下 2天2板;","安泰集团 20天11板;
胜利股份 2天2板;
农产品 2天2板;
顺发恒能 2天2板;","安泰集团 21天12板;
摩恩电气 8天8板;
三元股份 4天4板;
胜利股份 3天3板;
真爱美家 2天2板;
金富科技 2天2板;
速达股份 2天2板;
合肥城建 4天2板;","胜利股份 4天4板;
真爱美家 3天3板;
九阳股份 2天2板;
建业股份 2天2板;"
机器人,,"10只;
方正电机 4天3板;","7只;
冀凯股份 2天2板;
百川能源 2天2板;
兆新股份 3天2板;",1只;,2只;
超硬材料,,6只;,,,
抗流感,,"4只;
金迪克 2天2板;",3只;,,"4只;
金迪克 5天3板;
众生药业 3天2板;
特一药业 4天2板;"
房地产概念,,"3只;
华侨城 2天2板;",,3只;,"2只;
华夏幸福 2天2板;"
储能,,3只;,,"5只;
顺钠股份 7天4板;","3只;
奥特迅 2天2板;
宏英智能 2天2板;"
液冷IDC,,3只;,,2只;,
核电,,2只;,,,"3只;
合金投资 2天2板;"
煤炭,,2只;,,,"4只;
安泰集团 22天13板;
大有能源 4天2板;"
干细胞,,,5只;,,
油气设服,,,3只;,,
商业航天,,,"3只;
上海沪工 4天2板;
上海港湾 4天2板;",,
生物质能,,,"2只;
山高环能 4天2板;",,
光通信,,,2只;,,
阿里巴巴概念,,,,4只;,
有色金属概念,,,,3只;,
有机硅,,,,2只;,
户外露营,,,,2只;,"1只;
三夫户外 2天2板;"
钙钛矿电池,,,,"2只;
国晟科技 4天4板;",
海南,,,,,3只;
天然气,,,,,3只;
电力,,,,,2只;
华为手机,,,,,2只;
