类别,周一1124,周二1125,周三1126,周四1127,周五1128
市场焦点股,"中水渔业 7连板;
国晟科技 11天7板;
航天发展 7天6板;
国风新材 4连板;
梦天家居 4连板;","国晟科技 12天8板2连板;
榕基软件 7天6板;
梦天家居 5连板;
实达集团 4连板;","实达集团 5连板;
特发信息 4连板;
新华都 4连板;
欢瑞世纪 4连板;","国晟科技 14天9板;
广济药业 4连板;
金富科技 4连板;","国晟科技 15天10板2连板;
航天发展 11天7板;
梦天家居 8天6板;
金富科技 5连板;
茂业商业 4连板;"
AI应用,"17只;
实达集团 3天3板;
丽人丽妆 5天3板;
齐心集团 5天3板;
新华都 2天2板;
久其软件 2天2板;
欢瑞世纪 2天2板;","9只;
榕基软件 7天6板;
实达集团 4天4板;
新华都 3天3板;","8只;
欢瑞世纪 4天4板;
石基信息 3天2板;",,
商业航天,"13只;
航天发展 7天6板;
航天动力 3天2板;","6只;
航天动力 4天3板;
雷科防务 2天2板;","6只;
雷科防务 3天3板;
达华智能 2天2板;","6只;
万通发展 2天2板;
中天火箭 4天2板;","16只;
雷科防务 5天4板;
通宇通讯 2天2板;"
军工,"9只;
江龙船艇 6天3板;
中船防务 4天2板;",,,,
福建,"6只;
永安林业 6天4板;
南方路机 2天2板;
合兴包装 4天2板;",8只;,"6只;
实达集团 5天5板;
新华都 4天4板;
垒知集团 2天2板;","2只;
海欣食品 2天2板;","10只;
海欣食品 3天3板;
福建水泥 4天2板;"
光通信,"5只;
特发信息 2天2板;","6只;
瑞斯康达 6连板;","6只;
特发信息 4天4板;
长光华芯 2天2板;
永鼎股份 2天2板;",2只;,
阿里巴巴,4只;,,,,
芯片产业链,"4只;
国风新材 4天4板;",,,7只;,"5只;
和顺石油 2天2板;
睿能科技 2天2板;"
固态电池,"4只;
国晟科技 11天7板;","4只;
国晟科技 12天8板;",,7只;,
3D打印,"3只;
长江材料 2天2板;",,,,
抗流感,2只;,"6只;
海南海药 8天4板;
广济药业 2天2板;","7只;
广济药业 3天3板;
金迪克 2天2板;","4只;
广济药业 4天4板;
海王生物 2天2板;
粤万年青 2天2板;
特一药业 3天2板;","2只;
海王生物 3天3板;"
水产,"2只;
中水渔业 7天7板;
开创国际 6天3板;",,,,
房地产,"2只;
世联行 2天2板;",,,,
其他,"梦天家居 4天4板;
品高股份 2天2板;
北新路桥 2天2板;","梦天家居 5天5板;
长江材料 3天3板;
品高股份 3天3板;
金富科技 2天2板;","金富科技 3天3板;
龙蟠科技 2天2板;
海南瑞泽 2天2板;
新亚强 2天2板;
勤上股份 2天2板;","国晟科技 14天9板;
金富科技 4天4板;
新金路 3天3板;
雪祺电气 2天2板;
美芝股份 3天2板;","梦天家居 8天6板;
金富科技 5天5板;
海南瑞泽 4天3板;
赤天化 3天2板;
美克家居 3天2板;
梅雁吉祥 3天2板;"
PCB,,5只;,,,
谷歌概念,,"4只;
特发信息 3天3板;",,,
机器人,,"4只;
大众公用 4天2板;",5只;,4只;,"10只;
襄阳轴承 4天2板;"
有色金属概念,,3只;,"3只;
罗平锌电 2天2板;
新金路 2天2板;",,
量子科技,,"2只;
禾信仪器 3天2板;",,,
游戏,,"2只;
欢瑞世纪 3天3板;",,,
存储器,,1只;,,,
商业零售,,,"5只;
茂业商业 2天2板;
三江购物 3天2板;","2只;
茂业商业 3天3板;
广百股份 2天2板;","3只;
茂业商业 4天4板;"
医药商业,,,"5只;
北大医药 2天2板;",,
消费电子,,,5只;,6只;,"6只;
道明光学 2天2板;"
食品饮料,,,3只;,,2只;
算力芯片,,,"2只;
天普股份 2天2板;",,
创新药,,,2只;,,
锂电池,,,,7只;,"7只;
国晟科技 15天10板;"
有机硅,,,,3只;,
消防,,,,2只;,
储能,,,,,4只;
钛白粉,,,,,2只;
文化传媒,,,,,2只;
