类别,周一0609,周二0610,周三0611,周四0612,周五0613
市场焦点股,"百利电气 16天9板2连板;
共创草坪 6连板;
联化科技 8天6板;
均瑶健康 10天6板;
金时科技 5连板;","共创草坪 7连板;
永悦科技 7天5板;
易明医药 5连板;
中电鑫龙 5天4板;
昂利康 6天4板3连板;","易明医药 6连板;
昂利康 7天5板4连板;
元隆雅图 9天5板;
金鹰股份 4连板;","易明医药 7连板;
元隆雅图 10天6板2连板;
南华期货 8天5板;
北矿科技 4连板;
粤传媒 4连板;","元隆雅图 11天7板3连板;
金时科技 9天6板;
北矿科技 5连板;
哈尔斯 8天4板3连板;"
创新药,"12只;
昂利康 5天3板;","6只;
昂利康 6天4板;","4只;
昂利康 7天5板;",6只;,
固态电池,"9只;
德新科技 2天2板;
海辰药业 2天2板;","5只;
德新科技 3天3板;",,3只;,
化工,"9只;
联化科技 8天6板;
长青股份 2天2板;","6只;
苏州龙杰 2天2板;
吉华集团 2天2板;","6只;
苏州龙杰 3天3板;",,"11只;
永安药业 2天2板;"
机器人,8只;,,2只;,,
数字货币,"7只;
金时科技 5天5板;
恒宝股份 7天5板;
中嘉博创 4天4板;
元隆雅图 7天4板;
楚天龙 2天2板;",,"6只;
元隆雅图 9天5板;
楚天龙 4天3板;","3只;
元隆雅图 10天6板;
东信和平 4天2板;","6只;
元隆雅图 11天7板;
吉大正元 2天2板;"
体育产业,"6只;
共创草坪 6天6板;","5只;
共创草坪 7天7板;
粤传媒 2天2板;",2只;, ,
核电,"6只;
百利电气 16天9板;","3只;
甬金股份 2天2板;
旭光电子 2天2板;",,2只;,
稀土永磁,4只;,"3只;
北矿科技 2天2板;","10只;
北矿科技 3天3板;
中科磁业 2天2板;","6只;
北矿科技 4天4板;
华阳新材 2天2板;
宁波韵升 2天2板;","3只;
北矿科技 5天5板;
华阳新材 3天3板;"
CRO/CMO,3只;,,,,
IP经济,3只;,,6只;,"11只;
新北洋 2天2板;
哈尔斯 2天2板;
青木科技 2天2板;",
军工,3只;,,,,11只;
大金融,"3只;
南华期货 5天4板;",,,,
食品饮料,3只;,,,"3只;
交大昂立 8天4板;
华业香料 3天2板;",
口腔医疗,2只;,,,,
字节跳动,2只;,,,,
其他,"易明医药 4天4板;
路桥信息 7天4板;
金鹰股份 2天2板;
洛凯股份 2天2板;
仁智股份 2天2板;","易明医药 5天5板;
永悦科技 7天5板;
金鹰股份 3天3板;
交大昂立 6天3板;","易明医药 6天6板;
金鹰股份 4天4板;
新日股份 2天2板;
曲江文旅 2天2板;
康惠制药 2天2板;
南京商旅 3天2板;","易明医药 7天7板;
南华期货 8天5板;
南京商旅 8天4板;
康惠制药 3天3板;
新日股份 3天3板;
曲美家居 4天2板;","哈尔斯 3天3板;
澳洋健康 5天3板;
安妮股份 2天2板;"
航运港口,,7只;,,,
算力工程,,"5只;
中电鑫龙 5天4板;",,,
婴童,,"3只;
澳洋健康 2天2板;",,,
农业种植,,2只;,,,
短剧,,2只;,,"3只;
粤传媒 4天4板;",
汽车零部件,,,13只;,"10只;
英利汽车 2天2板;
西上海 2天2板;
美晨科技 2天2板;
迪生力 2天2板;
泉峰汽车 2天2板;","2只;
英利汽车 3天3板;"
量子科技,,,,5只;,
AI眼镜,,,,5只;,
日化用品,,,,3只;,
农药,,,,"2只;
辉隆股份 2天2板;",
光通信,,,,2只;,
油气设服,,,,,11只;
核污染防治,,,,,9只;
黄金概念,,,,,3只;
石油,,,,,2只;
天然气,,,,,2只;
3D打印,,,,,2只;
