类别,周一1229,周二1230,周三1231,周四0101,周五0102
市场焦点股,"胜通能源 12连板;
嘉美包装 9连板;
神剑股份 8连板;
锋龙股份 4连板;
中国卫星 4连板;
鲁信创投 4连板;
大业股份 4连板","嘉美包装 10连板;
锋龙股份 5连板;
大业股份 5连板;
天奇股份 4连板;
泰尔股份 4连板;","神剑股份 10天9板;
锋龙股份 6连板;
大业股份 6连板;
泰尔股份 5连板;
中国卫星 6天5板;
鲁信创投 6天5板;",,
商业航天,"21只;
神剑股份 8天8板;
鲁信创投 4天4板;
大业股份 4天4板;
中国卫星 4天4板;
泰尔股份 3天3板;
中超控股 4天3板;
苏州高新 2天2板;
航天发展 2天2板;
金风科技 3天2板;
派克新材 3天2板;","10只;
大业股份 5天5板;
泰尔股份 4天4板;
雷科防务 2天2板;
华菱线缆 4天2板;","28只;
神剑股份 10天9板;
大业股份 6天6板;
中国卫星 6天5板;
鲁信创投 6天5板;
宏英智能 3天3板;
雷科防务 3天3板;
航天发展 4天3板;
长江通信 5天3板;
北斗星通 4天2板;
中国卫通 4天2板;",,
机器人概念,"17只;
胜通能源 12天12板;
锋龙股份 3天3板;
天奇股份 3天3板;
冀凯股份 2天2板;","27只;
锋龙股份 4天4板;
天奇股份 4天4板;
五洲新春 2天2板;
模塑科技 2天2板;
步科股份 2天2板;
科森科技 3天2板;
福龙马 3天2板;
万向钱潮 4天2板;
方正电机 4天2板;
首开股份 4天2板;
浙江荣泰 4天2板;","9只;
锋龙股份 5天5板;
泰尔股份 5天5板;
五洲新春 3天3板;
天铭科技 2天2板;",,
芯片产业链,"9只;
扬子新材 3天3板;
天普股份 3天2板;",,3只;,,
碳纤维,4只;,,,,
光伏,4只;,,,,
数字货币,3只;,"3只;
御银股份 2天2板;","2只;
御银股份 3天3板;",,
AI智能体,"3只;
正和生态 4天2板;","4只;
正和生态 5天3板;",,,
纺织服装,3只;,,"5只;
众望布艺 6天3板;",,
液冷IDC,3只;,"7只;
宏英智能 2天2板;
统一股份 2天2板;",,,
钠电池,"2只;
恒大高新 2天2板;",,,,
商业零售,2只;,,,,
其他,"嘉美包装 9天9板;
德力股份 5天3板;
洲际油气 6天3板;
珠海中富 2天2板;
永悦科技 4天2板;","嘉美包装 10天10板;
恒大高新 3天3板;
天普股份 4天3板;
汇得科技 2天2板;","天创时尚 2天2板;
美能能源 2天2板;",,
影视,,"2只;
百纳千成 3天2板;",,,
智能驾驶,,"2只;
勘设股份 2天2板;",,,
石英,,"2只;
龙高股份 2天2板;",,,
AI应用,,,"13只;
南兴股份 2天2板;",,
