类别,周一0616,周二0617,周三0618,周四0619,周五0620
市场焦点股,"元隆雅图 12天8板4连板;
金时科技 10天7板2连板;
昂利康 10天6板;
捷强装备 2连板;","恒宝股份 13天7板2连板;
华阳新材 5天4板;
协鑫能科 3连板;
准油股份 3连板;
山东墨龙 3连板;
金牛化工 3连板;
贝肯能源  3连板;","东信和平 8天5板3连板;
协鑫能科 4连板;
准油股份 4连板;
山东墨龙 4连板;
贝肯能源 4连板;
金牛化工 4连板;","准油股份 5连板;
山东墨龙 5连板;
北方长龙 5天3板2连板;","山东墨龙 6连板;
诺德股份 4连板;
中京电子 3连板;
长城军工 3连板;"
数字货币,"14只;
元隆雅图 12天8板;
金时科技 10天7板;
东信和平 6天3板;
协鑫能科 2天2板;","6只;
东信和平 7天4板;
协鑫能源 3天3板;
恒宝股份 2天2板;","5只;
东信和平 8天5板;
协鑫能科 4天4板;",,"2只;
楚天龙 3天2板;"
化工,"10只;
金牛化工 2天2板;
云煤能源 2天2板;
大洋生物 2天2板;
金瑞矿业 2天2板;
利民股份 4天2板;","7只;
华阳新材 5天4板;
金牛化工 3天3板;
苏利股份 2天2板;","6只;
金牛化工 4天4板;
永安药业 5天3板;
兴化股份 4天2板;
乐通股份 4天2板;",,
IP经济,"9只;
萃华珠宝 2天2板;
绿茵生态 3天2板;
高乐股份 3天2板;
地素时尚 3天2板;",,,,
油气设服,"6只;
山东墨龙 2天2板;
准油股份 2天2板;
贝肯能源 2天2板;
洲际油气 2天2板;
通源石油 2天2板;","10只;
准油股份 3天3板;
贝肯能源 3天3板;
山东墨龙 3天3板;","4只;
准油股份 4天4板;
山东墨龙 4天4板;
贝肯能源 4天4板;","9只;
准油股份 5天5板;
山东墨龙 5天5板;","2只;
山东墨龙 6天6板;
宏川智慧 4天2板;"
医药,"6只;
昂利康 10天6板;",,,,
蚂蚁集团概念,4只;,,,,
3D打印,"4只;
金橙子 2天2板;",,,,
军工,"3只;
捷强装备 2天2板;",,"9只;
北方长龙 4天2板;","3只;
北方长龙 5天3板;
长城军工 2天2板;","2只;
长城军工 3天3板;"
算力工程,2只;,,,,
稀土永磁,2只;,,,,
其他,"泰山石油 2天2板;
中电电机 2天2板;",珠江钢琴 2天2板;,"邦基科技 2天2板;
深华发A  2天2板;","金瑞矿业 5天3板;
时代出版 2天2板;
创新医疗 3天2板;","浙江东日 4天3板;
天顺股份 4天2板;"
人脑工程,,9只;,,,
固态电池,,4只;,"2只;
诺德股份 2天2板;","6只;
诺德股份 3天3板;","10只;
诺德股份 4天4板;
湘潭电化 2天2板;
海科新源 2天2板;"
核污染防治,,"4只;
际华集团 3天2板;
融发核电 4天2板;",,,
航运,,"2只;
凤凰航运 3天2板;",,,2只;
天然气,,2只;,,,
AI眼镜,,2只;,4只;,,
氢能,,2只;,,,
创新药,,2只;,2只;,,2只;
PCB,,,9只;,"3只;
中京电子 2天2板;
逸豪新材 2天2板;","2只;
中京电子 3天3板;"
食品饮料,,,"3只;
莫高股份 2天2板;
浙江东日 2天2板;",,
核电,,,3只;,,
储能,,,2只;,,
短剧,,,,3只;,
机器人,,,,3只;,
芯片产业链,,,,2只;,"8只;
兴业股份 6天3板;"
光伏,,,,,4只;
水利,,,,,2只;
CRO/CMO,,,,,2只;
