类别,周一0303,周二0304,周三0305,周四0306,周五0307
市场焦点股,"恒为科技 4连板;
群兴玩具 6天3板3连板;
上海洗霸 3连板;
天正电气 3连板;","杭齿前进 15天10板;
华丰股份 8天7板;
万马股份 10天5板;
天正电气 4连板;","天正电气 5连板;
卓翼科技 11天7板;
大位科技 9天6板;
宁水集团 5天4板3连板;","杭齿前进 17天11板;
华丰股份 10天8板;
卓翼科技 12天8板2连板;
大位科技 10天7板2连板;
宁水集团 6天5板4连板;","永茂泰 10天6板2连板;
云鼎科技 5连板;
信隆健康 4连板;
浙江黎明 4连板;"
固态电池,"21只;
上海洗霸 3天3板;
晶华新材 2天2板;","3只;
华丰股份 8天7板;",,,
锂电池,"13只;
百合花 3天2板;
野马电池 3天2板;",,,,
Deepseek,"10只;
宁水集团 3天2板;","3只;
宁水集团 4天3板;
云鼎科技 2天2板;","3只;
宁水集团 5天4板;
云鼎科技 3天3板;
哈森股份 4天2板;","4只;
宁水集团 6天5板;
云鼎科技 4天4板;",
机器人,"9只;
征和工业 2天2板;","35只;
万马股份 5天4板;
征和工业 3天3板;
龙溪股份 5天3板;
浩淼科技 2天2板;
襄阳轴承 3天2板;","31只;
龙溪股份 6天4板;
捷昌驱动 2天2板;
鑫隆健康 2天2板;
圣龙股份 2天2板;","18只;
杭齿前进 17天11板;
卓翼科技 12天8板;
龙溪股份 7天5板;
万马股份 7天5板;
信隆健康 3天3板;
捷昌驱动 3天3板;
浩淼科技 4天3板;
岩山科技 2天2板;
福达股份 2天2板;","17只;
云鼎科技 5天5板;
信隆健康 4天4板;
征和工业 6天4板;
铭科精技 2天2板;
方正电机 3天2板;"
新能源汽车,"8只;
众泰汽车 4天2板;",,"6只;
浙江黎明 2天2板;","8只;
永茂泰 9天5板;
浙江黎明 3天3板;
神通科技 3天2板;","7只;
永茂泰 10天6板;
浙江黎明 4天4板;
云内动力 2天2板;"
芯片产业链,"7只;
皇庭国际 4天2板;","24只;
皇庭国际 5天3板;
海立股份 2天2板;
东尼电子 3天2板;",,"2只;
东尼电子 5天3板;",2只;
光伏,"6只;
海螺新材 3天2板;
深赛格 3天2板;
长城电工 4天2板;",,,,
可控核聚变,5只;,,,,
算力工程,"5只;
恒为科技 4天4板;",6只;,"14只;
智微智能 2天2板;
恒润股份 3天2板;
宏景科技 4天2板;","15只;
大位科技 10天7板;
群兴玩具 9天5板;
海南华铁 2天2板;","4只;
海南华铁 3天3板;
湖北广电 2天2板;"
AI医疗,4只;,"4只;
贝瑞基因 2天2板;",,,
低空经济,3只;,,,2只;,"6只;
佳都科技 2天2板;"
数据中心,"3只;
天正电气 3天3板;
宁波建工 2天2板;
奥特迅 2天2板;","4只;
天正电气 4天4板;
奥特迅 3天3板;
动力新科 4天2板;","2只;
天正电气 5天5板;","10只;
华丰股份 10天8板;
宁波建工 5天3板;
动力新科 6天3板;
泰豪科技 2天2板;",
民爆,2只;,,,,
军工,,"16只;
华荣股份 2天2板;",,,"2只;
凤形股份 2天2板;"
商业航天,,,7只;,,
工程机械,,,6只;,,
5G产业链,,,"5只;
纵横通信 3天2板;",,
RISC芯片,,,"4只;
亿通科技 2天2板;
好上好 2天2板;",,
快递物流,,,3只;,,
AI智能体,,,,15只;,"8只;
国脉科技 2天2板;
南兴股份 2天2板;
正和生态 2天2板;
立方控股 2天2板;
新开普 2天2板;
用友网络 2天2板;"
AI应用,,,,"12只;
贝瑞基因 4天3板;
三维通信 2天2板;",
大金融,,,,2只;,
有色金属概念,,,,,"9只;
华钰矿业 4天3板;
金瑞矿业 2天2板;"
化工,,,,,"4只;
光华股份 2天2板;"
