类别,周一0217,周二0218,周三0219,周四0220,周五0221
市场焦点股,"杭钢股份 9连板;
航锦科技 10天8板;
数据港 9天6板4连板;
威派格 5连板;
美年健康 7天5板2连板;
杭齿前进 4连板;","冀东装备 16天10板2板;
威派格 6连板;
海南华铁 9天6板;
杭齿前进 5连板;","冀东装备 17天11板3连板;
航锦科技 12天9板;
杭齿前进 6连板;
润建股份 8天5板;
贝瑞基因 9天5板;","航锦科技 13天10板2连板;
杭齿前进 7连板;
润建股份 9天6板2连板;
福莱新材 8天5板2连板;","杭钢股份 13天10板;
杭齿前进 8连板;
拓维信息 13天8板;
威派格 9天7板;
润建股份 10天7板3连板;
海南华铁 12天7板;
数据港 13天7板;"
机器人,"15只;
冀东装备 15天9板;
杭齿前进 4天4板;
福莱新材 5天3板;","7只;
冀东装备 16天10板;
杭齿前进 5天5板;
星光农机 2天2板;
盈峰环境 2天2板;","39只;
冀东装备 17天11板;
杭齿前进 6天6板;
福莱新材 7天4板;
捷昌驱动 3天2板;
长盛轴承 3天2板;
浙江荣泰 3天2板;","21只;
冀东装备 18天12板;
杭齿前进 7天7板;
福莱新材 8天5板;
盈峰环境 4天3板;
盛通股份 2天2板;
金发科技 2天2板;
首开股份 2天2板;
三丰智能 2天2板;
中大力德 2天2板;
万达轴承 2天2板;
云中马 2天2板;","20只;
杭齿前进 8天8板;
盈峰环境 5天4板;
盛通股份 3天3板;
中大力德 3天3板;
双飞集团 2天2板;
夏厦精密 2天2板;
上海机电 2天2板;
信质集团 3天2板;
雷赛智能 3天2板;"
腾讯概念,"10只;
数据港 9天6板;
科华数据 6天3板;
岭南股份 3天2板;
宁波建工 3天2板;","5只;
云赛智联 3天3板;
东华软件 2天2板;
广电电气 2天2板;
南兴股份 2天2板;","2只;
东华软件 3天3板;
地铁设计 2天2板;",,
AI医疗,"10只;
美年健康 7天5板;
塞力医疗 10天5板;
贝瑞基因 7天4板;
新赣江 6天3板;
安必平 2天2板;
达安基因 2天2板;
光正眼科 2天2板;
麦迪科技 2天2板;
泓博医药 2天2板;",,"2只;
贝瑞基因 9天5板;
金域医学 4天2板;","2只;
光正眼科 5天3板;",
数据中心,"8只;
三变科技 2天2板;
泰豪科技 4天2板;",,"2只;
泰豪科技 6天3板;",,"8只;
泰豪科技 8天5板;"
deepseek,"6只;
航锦科技 10天8板;
威派格 5天5板;
浙文互联 6天4板;
华扬联众 3天3板;","3只;
威派格 6天6板;
四川金顶 2天2板;","4只;
航锦科技 12天9板;
四川金顶 3天3板;
禾盛新材 2天2板;","5只;
四川金顶 4天4板;
禾盛新材 3天3板;",
算力工程,"6只;
杭钢股份 9天9板;
浙数文化 9天7板;
东方材料 9天6板;
云赛智联 2天2板;",,"9只;
润建股份 8天5板;
海兰信 3天2板;
福鞍股份 3天2板;","9只;
航锦科技 13天10板;
润建股份 9天6板;
东华软件 4天4板;
福鞍股份 4天3板;","14只;
海南华铁 12天7板;
盛视科技 6天3板;"
芯片产业链,4只;,,7只;,,7只;
教育产业,4只;,,,,
液冷IDC,3只;,,,,"11只;
川润股份 2天2板;
银轮股份 3天2板;"
家居装饰,3只;,,,,
农机,2只;,,,,
AMC,2只;,,,,
AI眼镜,,,3只;,"16只;
卓翼科技 2天2板;
慈文传媒 2天2板;
浙版传媒 2天2板;","4只;
慈文传媒 3天3板;
卓翼科技 3天3板;"
军工,,,,8只;,
化工,,,,"7只;
浙江众成 2天2板;","2只;
浙江众成 3天3板;
道恩股份 2天2板;"
医院,,,,"4只;
国际医学 2天2板;",
商业零售,,,,2只;,
量子科技,,,,1只;,2只;
阿里云,,,,,"11只;
润建股份 10天7板;
奥飞数据 2天2板;"
国资云,,,,,5只;
固态电池,,2只;,3只;,,"4只;
博迁新材 3天3板;"
数字政务,,"2只;
金桥信息 4天3板;",,,"3只;
云赛智联 6天4板;
榕基软件 4天2板;"
神经网络,,,,,2只;
创新药,,,,,2只;
影视,,,,,2只;
杭州,,,,,2只;
新能源汽车,,,"12只;
威尔泰 3天3板;
天普股份 2天2板;
日盈电子 3天2板;
千里科技 3天2板;
合力科技 3天2板;",,
peek材料,,,3只;,,
一带一路,,,"3只;
北方国际 2天2板;",,
华为产业链,,"2只;
海南华铁 9天6板;","2只;
烽火通信 4天2板;",,
储能,,7只;,,,
新型城镇化,,3只;,,,
