类别,周一0324,周二0325,周三0326,周四0327,周五0328
市场焦点股,"海洋王 8天6板;
雪龙集团 5连板;
大连重工 4连板;
东珠生态 4连板;
邵阳液压 3连板;","中毅达 12天6板2连板;
大有能源 12天6板;
南方精工 6天5板;
太阳电缆 3连板;
尤夫股份 3连板;","奇精机械 11天8板;
巨力索具 10天7板;
中毅达 13天7板3连板;
南方精工 7天6板2连板;
大连重工 6天5板;","中毅达 14天8板4连板;
尤夫股份 5连板;","雪龙集团 9天6板;
合锻智能 5天4板;
荣泰健康 3连板;"
海洋科技,"12只;
大连重工 4天4板;
振华重工 3天3板;
亚星瞄链 3天3板;
邵阳液压 3天3板;
太阳电缆 2天2板;
尤夫股份 2天2板;
中信重工 2天2板;
佛山照明 3天2板;","5只;
太阳电缆 3天3板;
尤夫股份 3天3板;
正和生态 2天2板;","11只;
大连重工 6天5板;
尤夫股份 4天4板;
太阳电缆 4天4板;
正和生态 3天3板;
中信重工 4天3板;
龙洲股份 3天2板;","2只;
尤夫股份 5天5板;
亿利达 2天2板;",
机器人,"9只;
雪龙集团 5天5板;
韵能股份 4天3板;
先锋电子 2天2板;
南方路机 2天2板;
天和磁材 4天2板;","6只;
南方精工 6天5板;
先锋电子 3天3板;","21只;
南方精工 7天6板;
三维通信 4天2板;","3只;
标准股份 2天2板;
荣泰健康 2天2板;","5只;
荣泰健康 3天3板;"
旅游酒店,5只;,,,,
化工,5只;,"12只;
中毅达 12天6板;
红宝丽 3天2板;","11只;
中毅达 13天7板;
键邦股份 2天2板;
江天化学 2天2板;","20只;
中毅达 14天8板;
回盛生物 2天2板;
三房巷 2天2板;
苏利股份 2天2板;","5只;
河化股份 2天2板;
华尔泰 2天2板;"
有色金属,3只;,3只;,3只;,,
食品饮料,2只;,,,,
文化传媒,2只;,,,,5只;
核电,,"18只;
合锻智能 2天2板;","3只;
合锻智能 3天3板;
百利电气 2天2板;",,"5只;
合锻智能 5天4板;
雪人股份 4天2板;"
煤炭,,2只;,,,
军工,,"2只;
王子新材 2天2板;",,,
婴童,,2只;,,,
光伏,,,"7只;
漳州发展 4天2板;",,3只;
农林牧渔,,,5只;,,
稀土永磁,,,"3只;
天和磁材 6天3板;",,"2只;
华宏科技 3天2板;"
工业母机,,,2只;,,
动物保健,,,2只;,,
算力工程,,,2只;,,2只;
芯片产业链,,,,"18只;
红宝丽 5天3板;","4只;
凯美特气 2天2板;
冠石科技 2天2板;
至纯科技 2天2板;"
创新药,,,,5只;,
乳液奶粉,,,,"2只;
妙可蓝多 4天2板;",
医药,,,,,4只;
