类别,周一0804,周二0805,周三0806,周四0807,周五0808
市场焦点股,"山河智能 11天7板;
胜通能源 4连板;
文科股份 7天4板3连板;
利德曼 3连板;
倍加洁 3连板;","上纬新材 20天12板;
山河智能 12天8板2连板;
文科股份 8天5板4连板;
倍加洁 4连板;
中马传动 5天4板3连板;
东杰智能 3连板;","倍加洁 5连板;
中马传动 6天5板4连板;
长城军工 5天4板3连板;","中马传动 7天6板5连板;
长城军工 6天5板4连板;
国机精工 4连板;
北纬科技 4连板;
福日电子 4连板;","山河智能 15天9板;
国机精工 5连板;
日海智能 4连板;
洪通燃气 4连板;
华光环能 4连板;"
军工,"19只;
万泽股份 2天2板;
长城军工 3天2板;
恒宇通信 4天2板;","8只;
长城军工 4天3板;
淳中科技 4天3板;","17只;
长城军工 5天4板;
湖南天雁 2天2板;
航天科技 2天2板;
北方长龙 3天2板;
利君股份 3天2板;","5只;
长城军工 6天5板;
佳缘科技 2天2板;","3只;
际华集团 2天2板;"
机器人,"15只;
中马传动 4天3板;
东杰智能 2天2板;
日盈电子 2天2板;","15只;
中马传动 5天4板;
东杰智能 3天3板;
北纬科技 2天2板;
国机精工 2天2板;","21只;
中马传动 6天5板;
北纬科技 3天3板;
日海智能 2天2板;","9只;
中马传动 7天6板;
北纬科技 4天4板;
国机精工 4天4板;
华纬科技 2天2板;
云中马 2天2板;
东方精工 2天2板;","11只;
宁波韵升 2天2板;"
创新药,"10只;
福元医药 5天3板;",,,,"5只;
诚意药业 5天3板;"
AI应用,8只;,,,,
芯片产业链,"6只;
东芯股份 5天3板;",,3只;,"14只;
东芯股份 8天4板;
海立股份 2天2板;
飞乐音响 4天2板;",
固态电池,4只;,,,,
PCB,"4只;
江南新材 3天2板;",,,,
盾构机,2只;,,,,
液冷IDC,2只;,,3只;,"2只;
淳中科技 6天4板;","3只;
日海智能 4天4板;"
数据中心,2只;,,,,
其他,"胜通能源 4天4板;
文科股份 7天4板;
倍加洁 3天3板;
利德曼 3天3板;
飞乐音响 4天2板;","倍加洁 4天4板;
福日电子 2天2板;
良信股份 4天2板;","倍加洁 5天5板;
宏和科技 8天4板;
福日电子 3天3板;
洪通燃气 2天2板;
华光环能 2天2板;
马钢股份 2天2板;","华光环能 3天3板;
洪通燃气 3天3板;","吉视传媒 5天3板;
洪田股份 3天2板;
良信股份 4天2板;"
新能源汽车,,6只;,,,
医药,,"4只;
诚意药业 2天2板;",,,
eSIM,,3只;,,"3只;
日海智能 3天3板;
东信和平 3天2板;",
PEEK材料,,3只;,"6只;
中欣氟材 2天2板;
新瀚新材 2天2板;","2只;
中欣氟材 3天3板;",
高速连接器,,3只;,,,
超级水电,,"3只;
山河智能 12天8板;
文科股份 8天5板;",,,"4只;
山河智能 15天9板;"
商业航天,,2只;,,,"8只;
国机精工 5天5板;
航天科技 4天3板;
上海港湾 2天2板;"
天然气,,2只;,,,
工业母机,,,"5只;
国机精工 3天3板;
华东数控 3天2板;",,
华为产业链,,,3只;,,
医疗器械,,,,"6只;
利德曼 6天4板;
科华生物 3天2板;
大博医疗 4天2板;","4只;
尚荣医疗 2天2板;
赛诺医疗 2天2板;"
稀土永磁,,,,5只;,
IP经济,,,,"5只;
吉视传媒 4天2板;",
消费电子,,,,"5只;
福日电子 4天4板;",
AI智能体,,,,3只;,
人脑工程,,,,"2只;
创新医疗 3天2板;",
新疆,,,,,"11只;
洪通燃气 4天4板;"
高铁轨交,,,,,6只;
新型城镇化,,,,,"3只;
汇通集团 4天2板;"
数字货币,,,,,3只;
电力,,,,,"2只;
华光环能 4天4板;"
