类别,周一0519,周二0520,周三0521,周四0522,周五0523
市场焦点股,"成飞集成 9连板;
利君股份 9天8板2连板;
中超控股 11天7板2连板;
迎丰股份 7天6板;
南京港 5连板;
宁波海运 5连板;
连云港 5连板;","迎丰股份 8天7板2连板;
苏州龙杰 8天6板;
郑中设计 4连板;
丽人丽妆 4连板;
综艺股份 5天4板2连板;
拉芳家化 6天4板2连板;","南京港 7天6板;
郑中设计 5连板;
丽人丽妆 5连板;
综艺股份 6天5板3连板;
天汽模 4连板;","中超控股 14天8板;
永安药业 7天5板2连板;
王子新材 9天5板;
三生国健 4连板;
慧博云通 3连板;","中超控股 15天9板2连板;
苏州龙杰 11天7板;
丽人丽妆 7天6板;
永安药业 8天6板3连板;
王子新材 10天6板2板;
滨海能源 5连板;"
并购重组,"13只;
综艺股份 4天3板;
天汽模 2天2板;","14只;
综艺股份 5天4板;
天汽模 3天3板;
滨海能源 2天2板;
金利华电 2天2板;
亚泰集团 2天2板;
五新隧装 2天2板;
宜宾纸业 2天2板;","9只;
综艺股份 6天5板;
天汽模 4天4板;
滨海能源 3天3板;
宜宾纸业 3天3板;
慧博云通 2天2板;
信邦智能 2天2板;","7只;
滨海能源 4天4板;
宜宾纸业 4天4板;
慧博云通 3天3板;",
航运港口,"7只;
南京港 5天5板;
宁波海运 5天5板;
连云港 5天5板;",,"2只;
南京港 7天6板;",,
机器人,"7只;
中超控股 11天7板;
信隆健康 2天2板;","2只;
信隆健康 3天3板;",,"3只;
中超控股 14天8板;","5只;
中超控股 15天9板;"
化工,"6只;
中毅达 9天5板;
尤夫股份 5天4板;
永安药业 4天3板;
安纳达 4天3板;
吉华集团 2天2板;",,"6只;
安纳达 6天4板;
永安药业 6天4板;","5只;
永安药业 7天5板;
汇得科技 2天2板;","9只;
苏州龙杰 11天7板;
永安药业 8天6板;
汇得科技 3天3板;"
食品饮料,"5只;
交大昂立 7天5板;
百合股份 2天2板;",,,,
军工,"5只;
成飞集成 9天9板;
利君股份 9天8板;","2只;
恒天海龙 2天2板;",,5只;,
核电,"4只;
王子新材 6天3板;
百利电气 2天2板;
中洲特材 2天2板;","2只;
王子新材 7天4板;
百利电气 3天3板;",,"2只;
王子新材 9天5板;","8只;
王子新材 10天6板;
尚纬股份 2天2板;"
创投,4只;,,,,
宠物经济,3只;,"5只;
源飞宠物 2天2板;
天元宠物 2天2板;",,,
碳纤维,"2只;
吉林化纤 4天3板;",,,,
日化用品,"2只;
丽人丽妆 3天3板;
拉芳家化 5天3板;","2只;
丽人丽妆 4天4板;
拉芳家化 6天4板;","3只;
丽人丽妆 5天5板;
一心堂 2天2板;",,
智能驾驶,"2只;
王安科技 2天2板;
路畅科技 2天2板;","2只;
路畅科技 3天3板;
万安科技 3天3板;",,"3只;
通达电气 2天2板;",
稀土永磁,"2只;
华阳新材 6天3板;",2只;,,,
华为鸿蒙,"2只;
东方中科 8天4板;",,,,
其他,"迎丰股份 7天6板;
郑中设计 3天3板;
华夏幸福 2天2板;
国光连锁 2天2板;","棕榈股份 2天2板;
安彩高科 2天2板;
九鼎投资 2天2板;
空港股份 2天2板;","郑中设计 5天5板;
浪莎股份 3天3板;
空港股份 3天3板;
湖南天雁 3天3板;
棕榈股份 3天3板;
保龄宝 3天2板;","棕榈股份 4天4板;
浪莎股份 4天4板;
莱绅通灵 3天3板;
宝光股份 2天2板;
廊坊发展 2天2板;
重庆港 2天2板;
长春一东 3天2板;
京华激光 3天2板;","丽人丽妆 7天6板;
一心堂 4天3板;
京华激光 4天3板;
烽火电子 2天2板;"
IP经济,,"7只;
郑中设计 4天4板;",,,
创新药,,"4只;
三生国健 2天2板;","6只;
三生国健 3天3板;
哈三联 5天3板;","3只;
三生国健 4天4板;",
电力,,"4只;
湖南发展 2天2板;","3只;
湖南发展 3天3板;
乐山电力 6天3板;",,
中兵系,,"3只;
湖南天雁 2天2板;
保变电气 2天2板;",,,
黄金概念,,3只;,"3只;
莱绅通灵 2天2板;",,
纺织服装,,"3只;
迎丰股份 8天7板;
苏州龙杰 8天6板;
浪莎股份 2天2板;",,,
固态电池,,,"10只;
金龙羽 2天2板;",,"5只;
滨海能源 5天5板;
金龙羽 4天3板;
海辰药业 3天2板;"
无人物流车,,,4只;,,
比亚迪概念,,,3只;,,
芯片产业链,,,"3只;
红宝丽 4天2板;",,
AI应用,,,,"3只;
盛视科技 4天2板;",
医药,,,,,"6只;
海森药业 2天2板;
海翔药业 2天2板;"
AI医药,,,,,2只;
