类别,周一0505,周二0506,周三0507,周四0508,周五0509
市场焦点股,,"先达股份 9天6板;
润贝航科 11天6板2连板;
尤夫股份 11天6板;
渝三峡A 5连板;
精进电动 3连板;","润贝航科 12天7板3连板;
红墙股份 12天7板;
渝三峡A 6连板;
中欣氟材 9天6板;
精进电动 4连板;","润贝航科 13天8板4连板;
中超控股 4连板;
华电辽能 7天4板;","红墙股份 14天8板;
华纺股份 4连板;
春光科技 4连板;
麒盛科技 4连板;"
机器人,,"20只;
全筑股份 3天3板;
新坐标 3天3板;
中超控股 2天2板;
电光科技 2天2板;
信质集团 2天2板;
龙溪股份 2天2板;
嵘泰股份 2天2板;
大业股份 3天2板;","8只;
中超控股 3天3板;
龙溪股份 3天3板;
大业股份 4天3板;
宝馨科技 2天2板;","16只;
中超控股 4天4板;
奥普光电 2天2板;","5只;
奥普光电 3天3板;
侨银股份 2天2板;
万向钱潮 2天2板;"
华为鸿蒙,,"8只;
常山北明 2天2板;",,,"2只;
麒盛科技 4天4板;"
核电,,"8只;
福达股份 2天2板;",,,
算力工程,,"8只;
川润股份 2天2板;
大位科技 4天2板;","9只;
全筑股份 4天4板;
电光科技 3天3板;
禾盛新材 2天2板;
汇洲智能 2天2板;
狄耐克 2天2板;
华胜天成 2天2板;",,
稀土永磁,,"6只;
华阳新材 4天3板;",,,
新能源汽车,,"6只;
迪生力 6天3板;
日盈电子 3天2板;",,,
化工,,"6只;
先达股份 9天6板;
闰土股份 3天2板;","13只;
红墙股份 12天7板;
中欣氟材 9天6板;",,"2只;
红墙股份 14天8板;"
业绩超预期,,"5只;
润贝航科 11天6板;
渝三峡A 5天5板;
精进电动UW 3天3板;
金麒麟 4天3板;
兴民智通 2天2板;","3只;
润贝航科 12天7板;
渝三峡A 6天6板;
精进电动UW 4天4板;",,
消费电子,,4只;,,,
芯片产业链,,3只;,"3只;
京运通 2天2板;",,
电商,,"3只;
新华锦 2天2板;",,,
电力,,"3只;
华银电力 6天4板;
华电辽能 5天3板;",,,2只;
摘帽,,2只;,,,
光通信,,1只;,,,
减肥药,,1只;,,,
其他,,"汉商集团 3天3板;
莱绅通灵 2天2板;","迪生力 7天4板;
山东墨龙 2天2板;
明新旭腾 2天2板;
春光科技 2天2板;
华纺股份 2天2板;","润贝航科 13天8板;
华电辽能 7天4板;
山东墨龙 3天3板;
春光科技 3天3板;
大千生态 6天3板;
豪尔赛 2天2板;
神驰机电 3天2板;",春光科技 4天4板;
军工,,,"20只;
恒天海龙 2天2板;","19只;
成飞集成 2天2板;
华伍股份 2天2板;
天箭科技 2天2板;
利君股份 2天2板;
晨曦航空 2天2板;","6只;
成飞集成 3天3板;
天箭科技 3天3板;
利君股份 3天3板;"
人脑工程,,,"3只;
嘉事堂 2天2板;
麒盛科技 2天2板;","3只;
麒盛科技 3天3板;
航天长峰 2天2板;",
农业种植,,,2只;,,
食品饮料,,,"2只;
保龄宝 3天2板;",,
房地产概念,,,2只;,,
光伏,,,,7只;,
出海概念,,,,5只;,
液冷IDC,,,,4只;,
CPO,,,,3只;,
AI应用,,,,3只;,
商业零售,,,,2只;,
纺织服装,,,,,"8只;
华纺股份 4天4板;"
机械设备,,,,,"4只;
佳力图 2天2板;
百达精工 2天2板;
山东章鼓 2天2板;"
有色-钨,,,,,2只;
