类别,周一0915,周二0916,周三0917,周四0918,周五0919
市场焦点股,"首开股份 9天8板2连板;
三江购物 5天4板;
卧龙新能 6天4板;
昭衍新药 7天4板2连板;
中国电影 7天4板2连板;
华建集团 3连板;","首开股份 10天9板3连板;
淳中科技 6天5板;
必得科技 8天5板;
华建集团 4连板;
百利科技 6天4板3连板;","首开股份 11天10板4连板;
山子高科 4连板;
香江控股 4连板;
上海建工 4连板;","天普股份 12连板;
首开股份 12天11板5连板;
山子高科 5连板;
香江控股 5连板;
上海建工 5连板;","天普股份 13连板;
泰慕士 5连板;
杭电股份 4连板;"
机器人,"12只;
首开股份 9天8板;","40只;
首开股份 10天9板;
百利科技 6天4板;
上海建工 3天3板;
万向钱潮 2天2板;
大洋电机 3天2板;","30只;
首开股份 11天10板;
万向钱潮 3天3板;
景兴纸业 2天2板;
均胜电子 2天2板;
新华锦 2天2板;","18只;
首开股份 12天11板;
万向钱潮 4天4板;
景兴纸业 3天3板;
均胜电子 3天3板;
科森科技 3天3板;
利和兴 2天2板;
凯迪股份 3天2板;","6只;
兴业科技 2天2板;
公元股份 2天2板;
福龙马 2天2板;
富佳股份 3天2板;"
智能驾驶,8只;,,,"3只;
永新光学 2天2板;",
新能源汽车,"8只;
山子高科 2天2板;",,,,
固态电池,"7只;
百利科技 5天3板;",,"4只;
科森科技 2天2板;",,
芯片产业链,6只;,"7只;
怡亚通 2天2板;
天龙股份 2天2板;","15只;
飞乐音响 4天2板;","6只;
飞乐音响 5天3板;","11只;
永新光学 3天3板;
凯美特气 3天2板;
福晶科技 3天2板;"
电商,5只;,2只;,,,
算力工程,"5只;
园林股份 2天2板;
荣联科技 3天2板;",4只;,,"2只;
全筑股份 4天2板;",2只;
低价股,"3只;
香江控股 2天2板;
荣盛发展 2天2板;","6只;
香江控股 3天3板;
荣盛发展 3天3板;
山子高科 3天3板;","6只;
山子高科 4天4板;
香江控股 4天4板;
上海建工 4天4板;
建元信托 2天2板;","6只;
香江控股 5天5板;
山子高科 5天5板;
上海建工 5天5板;
美克家居 2天2板;","3只;
红豆股份 2天2板;
报喜鸟 4天2板;"
储能,"3只;
卧龙新能 6天4板;",,,,
液冷IDC,"3只;
南风股份 3天2板;","6只;
淳中科技 6天5板;","3只;
银轮股份 2天2板;","6只;
海鸥股份 2天2板;",
猪肉产业,2只;,,,,
CRO/CMO,"2只;
昭衍新药 7天4板;",,,,
游戏,2只;,,,,
影视,"2只;
中国电影 7天4板;",,,,2只;
创新药,2只;,,,,
其他,"三江购物 5天4板;
华建集团 3天3板;
上海建工 2天2板;
世茂能源 4天2板;","必得科技 8天5板;
华建集团 4天4板;
泰慕士 2天2板;
洛凯股份 2天2板;
友邦吊顶 3天2板;
阳煤化工 3天2板;","泰慕士 3天3板;
罗曼股份 5天3板;
杭电股份 2天2板;
科博达 2天2板;
模塑科技 2天2板;
时空科技 3天2板;","泰慕士 4天4板;
三维装备 2天2板;","泰慕士 5天5板;
天普股份 2天2板;"
汽车零部件,,"5只;
朗博科技 2天2板;",,,
统一大市场,,"4只;
炬申股份 4天3板;",,,
光通信,,"3只;
剑桥科技 4天3板;",4只;,"3只;
长飞光纤 3天2板;","4只;
长飞光纤 4天3板;
世嘉科技 3天2板;"
PCB,,3只;,,"6只;
杭电股份 3天3板;","2只;
杭电股份 4天4板;"
字节跳动,,"2只;
线上线下 2天2板;",,,
光伏,,,"4只;
嘉泽新能 5天3板;",,
有色金属概念,,,"4只;
北方铜业 4天2板;",,
智能电网,,,3只;,,
风电,,,,"4只;
中电电机 2天2板;",
算力芯片,,,,2只;,
旅游酒店,,,,"2只;
云南旅游 2天2板;","4只;
云南旅游 3天3板;
曲江文旅 2天2板;"
锂电池,,,,,4只;
军工,,,,,3只;
碳化硅,,,,,2只;
