类别,周一0707,周二0708,周三0709,周四0710,周五0711
市场焦点股,"华银电力 5天4板3连板;
长供电工 6天4板;
金一文化 7天4板3连板;","大东南 11天7板;
华银电力 6天5板4连板;
柳钢股份 6天5板;
金安国纪 4连板;
森林包装 4连板;
华光环能 4连板;","华银电力 7天6板5连板;
金安国纪 5连板;
森林包装 5连板;
华光环能 5连板;","森林包装 6连板;
华光环能 6连板;
塞力医疗 8天5板;","国投中鲁 5连板;
四方新材 5连板;
亚玛顿 8天5板;
精艺股份 8天5板;
华媒控股 4连板;
联环药业 5天4板2连板;"
电力,"10只;
华光环能 3天3板;
韶能股份 2天2板;
新中港 2天2板;
深南A 2天2板;","2只;
华银电力 6天5板;
新中港 3天3板;","4只;
华银电力 7天6板;
新中港 4天4板;",,
跨境支付,"8只;
信雅达 2天2板;
京北方 2天2板;",,,,
智能电网,"5只;
欣灵电气 4天2板;",,3只;,,
房地产概念,"5只;
南山控股 4天3板;
财信发展 3天2板;","3只;
渝开发 2天2板;",,"7只;
渝开发 4天4板;
南山控股 7天4板;","3只;
光大嘉宝 2天2板;"
可降解材料,4只;,,,,
军工,4只;,,"4只;
长春一东 2天2板;",,
数字货币,"3只;
金一文化 7天4板;","2只;
金时科技 2天2板;","3只;
金时科技 3天3板;
信雅达 4天3板;",,"6只;
绿地控股 2天2板;"
核电,"3只;
长城电工 6天4板;",,,,
业绩超预期,"3只;
华银电力 5天4板;
兄弟科技 2天2板;","3只;
工业富联 4天2板;","3只;
金岭矿业 2天2板;","5只;
金岭矿业 3天3板;",4只;
医疗器械,3只;,,,,
芯片产业链,3只;,"4只;
欣灵电气 5天3板;
沃顿科技 2天2板;",,,
PCB,"3只;
金安国纪 3天3板;
宏和科技 5天3板;","16只;
金安国纪 4天4板;
宏和科技 6天4板;
九鼎新材 3天3板;
博敏电子 6天3板;
平安电工 3天2板;
东材科技 3天2板;
逸豪新材 4天2板;","4只;
金安国纪 5天5板;",,
充电宝概念,2只;,,,,
体育产业,2只;,,,,
3D打印,2只;,2只;,,,
创新药,2只;,"3只;
卫信康 4天3板;
联环药业 2天2板;",,"9只;
联环药业 4天3板;","6只;
联环药业 5天4板;"
其他,"森林包装 3天3板;
九鼎新材 2天2板;
新亚电子 3天2板;
南京商旅 4天2板;","大东南 11天7板;
精艺股份 5天3板;
四方新材 2天2板;
国投中鲁 2天2板;","森林包装 5天5板;
精艺股份 6天4板;
四方新材 3天3板;
国投中鲁 3天3板;
渝开发 3天3板;
华媒控股 2天2板;","森林包装 6天6板;
国投中鲁 4天4板;
华媒控股 3天3板;
欢瑞世纪 6天3板;
上纬新材 2天2板;
跨境通 2天2板;
山东玻纤 3天2板;
南京商旅 4天2板;","国投中鲁 5天5板;
精艺股份 8天5板;
华媒控股 4天4板;
上纬新材 3天3板;"
光伏,,"15只;
华光环能 4天4板;
亚玛顿 5天4板;
亿晶光电  5天3板;","5只;
华光环能 5天5板;
亿晶光电 6天4板;
拓日新能 2天2板;","10只;
华光环能 6天6板;
拓日新能 3天3板;
科陆电子 2天2板;
美丽生态 2天2板;
国晟科技 2天2板;
弘元绿能 3天2板;","4只;
亚玛顿 8天5板;
美丽生态 3天3板;
国晟科技 3天3板;
京运通 2天2板;"
高速连接器,,"2只;
新亚电子 8天4板;",,,
CRO/CMO,,2只;,2只;,,3只;
钢铁,,2只;,,,
包装印刷,,"2只;
森林包装 4天4板;
天元股份 2天2板;",,,
医疗美容,,2只;,,,
大金融,,"2只;
永安期货 2天2板;",,"2只;
南华期货 2天2板;","5只;
南华期货 3天3板;
中银证券 2天2板;"
机器人,,,"7只;
朗迪集团 2天2板;
日发精机 2天2板;",,2只;
短剧,,,2只;,,
金融科技,,,"2只;
大智慧 2天2板;",,3只;
新型城镇化,,,,"7只;
四方新材 4天4板;
国义招标 2天2板;
新城市 2天2板;","4只;
四方新材 5天5板;"
氢能,,,,"6只;
赫美集团 2天2板;","3只;
赫美集团 3天3板;
东宏股份 2天2板;"
有机硅,,,,3只;,"2只;
晨光新材 2天2板;
宏柏新材 2天2板;"
AI应用,,,,3只;,
AI智能体,,,,,6只;
快递物流,,,,2只;,
稀土永磁,,,,,"11只;
北方稀土 2天2板;"
