类别,周一0825,周二0826,周三0827,周四0828,周五0829
市场焦点股,"万通发展 12天7板3连板;
华胜天成 13天7板;
园林股份 6连板;
成飞集成 4连板;","华胜天成 14天8板2连板;
园林股份 7连板;
腾龙股份 10天6板;
汉钟精机 8天5板;
川润股份 8天5板;
合力泰 5天4板3连板;","济民健康 10天6板;
剑桥科技 8天5板3连板;
天普股份 4连板;
天融信 5天4板2连板;
开普云 3连板;","万通发展 15天8板;
济民健康 11天7板2连板;
国光连锁 14天7板3连板;
天普股份 5连板;
领益智造 9天5板;","天普股份 6连板;
德创环保 4连板;
长飞光纤 5天4板2连板;"
算力工程,"7只;
园林股份 6天6板;
合力泰 4天3板;
佳都科技 2天2板;
中科曙光 2天2板;","8只;
园林股份 7天7板;
合力泰 5天4板;
天普股份 3天3板;
开普云 2天2板;
华东重机 3天2板;","3只;
天融信 5天4板;
开普云 3天3板;",,"5只;
天普股份 6天6板;"
稀土永磁,"5只;
章源钨业 2天2板;",,2只;,,"2只;
中国稀土 2天2板;"
机器人,"5只;
凯迪股份 4天2板;","3只;
日丰股份 5天3板;",4只;,"6只;
豪恩汽电 2天2板;","8只;
日丰股份 8天4板;"
算力芯片,"4只;
万通发展 3天3板;
科德教育 2天2板;
天普股份 2天2板;
和而泰 2天2板;",,"6只;
天普股份 4天4板;","7只;
天普股份 5天5板;
万通发展 6天4板;
瑞芯微 2天2板;",
光通信,4只;,"4只;
剑桥科技 7天4板;
XD长飞光 2天2板;
特发信息 2天2板;","4只;
剑桥科技 8天5板;","12只;
长飞光纤 4天3板;","2只;
长飞光纤 5天4板;"
PCB,4只;,,,"16只;
隆扬电子 2天2板;
江南新材 4天2板;",4只;
创新药,"4只;
塞力医疗 2天2板;",,2只;,,3只;
食品饮料,"4只;
会稽山 4天2板;",,,,"5只;
爱普股份 2天2板;"
家居装饰,4只;,,,,
光伏,"4只;
漳州发展 3天2板;",,,,
商业航天,3只;,"4只;
中国卫星 2天2板;",,,
有色金属概念,3只;,,,,
液冷IDC,3只;,"6只;
川润股份 8天5板;
领益智造 7天4板;",,"6只;
领益智造 9天5板;",3只;
芯片产业链,3只;,"6只;
亚翔集成 2天2板;","5只;
皇马科技 2天2板;","22只;
建业股份 2天2板;",
文化传媒,3只;,,,,
军工,"2只;
成飞集成 4天4板;",,,,3只;
风电,2只;,,,,
华为产业链,2只;,"4只;
华胜天成 14天8板;",,,
人脑工程,1只;,,,"3只;
岩山科技 2天2板;",
IDC电源,1只;,,,,
其他,"天山股份 2天2板;
天目药业 4天2板;","博纳影业 2天2板;
浙江东日 2天2板;
森特股份 2天2板;
中核钛白 4天2板;
安源煤业 4天2板;","德创环保 2天2板;
海阳科技 2天2板;
长江材料 2天2板;","国光连锁 7天4板;
德创环保 3天3板;
农产品 2天2板;
云南能投 2天2板;
济民健康 2天2板;
翔鹭钨业 4天2板;","德创环保 4天4板;
建业股份 3天3板;
云南能投 3天3板;
亚星化学 3天3板;
嘉亨家化 4天2板;
东尼电子 4天2板;"
业绩超预期,,13只;,"10只;
能科科技 2天2板;
傲农生物 2天2板;
启明信息 2天2板;",10只;,"8只;
兆新股份 2天2板;
盛泰集团 4天2板;"
消费电子,,7只;,,,
数字货币,,"3只;
天融信 4天3板;",,,
医疗器械,,3只;,,,
农林牧渔,,2只;,,,
发电机概念,,2只;,,,
3D打印,,2只;,,,
AI应用,,,5只;,,2只;
电力,,,2只;,,
商业零售,,,"2只;
国光连锁 6天3板;",,2只;
卫星互联网,,,,"9只;
启明信息 3天3板;
特发信息 4天3板;
博通集成 2天2板;","3只;
三维通信 2天2板;"
固态电池,,,,,16只;
CRO/CMO,,,,,3只;
金融科技,,,,,3只;
可控核聚变,,,,,2只;
