类别,周一0106,周二0107,周三0108,周四0109,周五0110
市场焦点股,"中恒电气 10天5板;
君禾股份 4连板;
海得控制 4连板;
比依股份 6天4板3连板;","顺钠股份 8天7板;
中恒电气 11天6板2连板;
海得控制 5连板;
神剑股份 7天5板;
美邦股份 4连板;","电光科技 13天9板;
顺钠股份 9天8板2连板;
东百集团 10天8板;
中恒电气 12天7板3连板;
海得控制 6连板;
美邦服饰 5连板;
","电光科技 14天10板2连板;
海得控制 7连板;
美邦股份 6连板;
安源煤业 10天6板;
雄韬股份 5连板;
粤宏远A 5连板;","美邦股份 7连板;
粤宏远A 6连板;
来伊份 15天8板2连板;
交大昂立 9天5板;"
抗流感,"21只;
鲁抗医药 2天2板;
哈药股份 2天2板;
葫芦娃 2天2板;
罗欣药业 2天2板;
新华制药 2天2板;",,,,
数据中心,"8只;
中恒电气 10天5板;
海得控制 4天4板;
雄韬股份 2天2板;","21只;
顺钠股份 8天7板;
中恒电气 11天6板;
海得控制 5天5板;
雄韬股份 3天3板;
海鸥股份 2天2板;
柘中股份 2天2板;
禾望电气 2天2板;
华塑科技 2天2板;
动力源 2天2板;
蔚蓝锂芯 2天2板;","11只;
电光科技 13天9板;
顺钠股份 9天8板;
中恒电气 12天7板;
海得控制 6天6板;
雄韬股份 4天4板;
海鸥股份 3天3板;
禾望电气 3天3板;
华塑科技 3天3板;
万控智造 2天2板;","14只;
电光科技 14天10板;
海得控制 7天7板;
雄韬股份 5天5板;
禾望电气 4天4板;
万控智造 3天3板;
共进股份 6天3板;
远程股份 2天2板;
江海股份 3天2板;","3只;
柘中股份 5天3板;
飞龙股份 2天2板;"
医药,4只;,,,,
化工,"4只;
氯碱化工 2天2板;",,,,
液冷IDC,"3只;
康盛股份 3天2板;",4只;,"3只;
康盛股份 5天4板;
日海智能 4天2板;","5只;
康盛股份 6天5板;
海鸥股份 4天4板;
日海智能 5天3板;",
业绩超预期,"3只;
君禾股份 4天4板;
迪贝电气 2天2板;","2只;
迪贝电气 3天3板;
惠而浦 2天2板;",,,2只;
回购,"3只;
永茂泰 6天3板;",,,,
光通信,2只;,4只;,,,
并购重组,"2只;
粤宏远A 2天2板;","4只;
粤宏远 3天3板;
山子高科 4天3板;","4只;
粤宏远A 4天4板;
宏创控股 2天2板;","3只;
粤宏远A 5天5板;
凯伦股份 2天2板;","3只;
粤宏远A 6天6板;"
高速连接器,,"8只;
鑫科材料 4天2板;",,,
芯片产业链,,7只;,4只;,,
核电,,7只;,,,
氢能,,"6只;
康盛股份 4天3板;",,,
数字货币,,5只;,,,
可控核聚变,,4只;,,,
快递物流,,"4只;
炬申股份 2天2板;",,,
字节跳动,,3只;,,"2只;
利欧股份 3天3板;",
文创玩具,,"3只;
美邦服饰 4天3板;
广百股份 4天2板;",,2只;,"6只;
广百股份 7天4板;
苏豪弘业 2天2板;
德力股份 2天2板;
郑中设计 2天2板;
博通集成 2天2板;"
AI眼镜,,3只;,"3只;
国星光电 14天7板;
瑞芯微 2天2板;","4只;
力鼎光电 2天2板;",
股权转让,,"3只;
神剑股份 7天5板;",,,
PCB,,2只;,,"16只;
宝鼎科技 5天3板;
方正科技 3天2板;","3只;
方正科技 4天3板;"
培育钻石,,2只;,,,
机器人,,,"16只;
弘讯科技 2天2板;
东方精工 2天2板;
新筑股份 3天2板;","14只;
弘讯科技 3天3板;
麦迪科技 2天2板;","10只;
弘讯科技 4天4板;
麦迪科技 3天3板;
金奥博 2天2板;
五洲新春 2天2板;"
养老,,,8只;,,
商业零售,,,"5只;
东百集团 10天8板;
益民集团 5天3板;
华联股份 5天3板;
广百股份 5天3板;
银座股份 2天2板;",,
液态金属,,,2只;,,
新能源汽车,,,,5只;,
光伏,,,,5只;,
微信小店,,,,"4只;
凯淳股份 2天2板;
元隆雅图 3天2板;",
军工,,,,3只;,
PEEK材料,,,,,2只;
智能驾驶,,,,,2只;
