类别,周一1215,周二1216,周三1217,周四1218,周五1219
市场焦点股,"航天机电 12天7板2连板;
再升科技 6连板;
太阳电缆 10天6板2连板;","太阳线缆 11天7板3连板;
安记食品 11天7板;
法尔胜 4连板;
华菱线缆 4连板;
百大集团 4连板;","百大集团 5连板;
胜通能源 4连板;
三羊马 3连板;
皮阿诺 3连板;","顺灏股份 15天8板;
百大集团 6连板;
胜通能源 5连板;
南京商旅 9天5板2连板;
博纳影业 9天5板;
皮阿诺 4连板;","胜通能源 6连板;
西部材料 11天6板2连板;
威帝股份 10天5板2连板;
浙江世宝 4连板;
九牧王 6天4板2连板;"
商业航天,"16只;
再升科技 6天6板;
华菱线缆 3天3板;
中超控股 3天3板;
长城电工 2天2板;","9只;
华菱线缆 4天4板;
通宇通信 2天2板;
航天电子 2天2板;",2只;,"14只;
盛洋科技 2天2板;","10只;
西部材料 11天6板;
华体科技 2天2板;
神剑股份 2天2板;"
食品饮料,"10只;
中锐股份 2天2板;","4只;
皇氏集团 6天3板;",,"4只;
皇氏集团 8天4板;
庄园牧场 2天2板;","4只;
庄园牧场 3天3板;"
芯片产业链,5只;,,,,
商业零售,"4只;
百大集团 3天3板;
美凯龙 5天3板;","9只;
百大集团 4天4板;
红旗连锁 2天2板;
广百集团 2天2板;","2只;
百大集团 5天5板;
利群股份 2天2板;","7只;
百大集团 6天6板;
南京商旅 9天5板;
中央商场 8天4板;
利群股份 3天3板;","4只;
上海九百 2天2板;"
储能,4只;,,,,
航天系,"3只;
航天机电 12天7板;",,,,
核电,"3只;
雪人集团 3天3板;
太阳电缆 2天2板;",,"3只;
博菲电气 2天2板;
国机重装 4天2板;",,"9只;
王子新材 3天2板;
大元泵业 3天2板;"
一带一路,3只;,,,,
钢铁,2只;,,,,
锂电池,"2只;
孚日股份 4天2板;",,"6只;
金圆股份 4天2板;",,
其他,"法尔胜 3天3板;
广西广电 3天3板;
重药控股 4天3板;
胜通能源 2天2板;
风范股份 2天2板;","法尔胜 4天4板;
胜通能源 3天3板;
三羊马 2天2板;","胜通能源 4天4板;
皮阿诺 2天2板;
钧达股份 4天2板;","胜通能源 5天5板;
皮阿诺 3天3板;
博菲电气 3天3板;
钧达股份 5天3板;
嘉美包装 2天2板;
苏利股份 2天2板;
中天服务 2天2板;","胜通能源 6天6板;
嘉美包装 3天3板;
苏利股份 3天3板;
法狮龙 2天2板;"
智能驾驶,,12只;,"3只;
三羊马 3天3板;
浙江世宝 2天2板;","3只;
浙江世宝 3天3板;
威帝股份 3天2板;","13只;
浙江世宝 4天4板;
威帝股份 4天3板;
路畅科技 4天2板;
索菱股份 4天2板;"
数字货币,,"4只;
航天信息 2天2板;",,,
福建,,2只;,2只;,"4只;
九牧王 5天3板;
立达信 2天2板;","5只;
九牧王 6天4板;
鹭燕医药 3天3板;"
液冷IDC,,,11只;,,
光通信,,,10只;,"4只;
长飞光纤 2天2板;","3只;
通鼎互联 3天2板;"
PCB,,,5只;,,
旅游酒店,,,3只;,,
AI医疗,,,3只;,"5只;
美年健康 2天2板;",
金融科技,,,"2只;
翠微股份 2天2板;",,
医药商业,,,,"6只;
重药控股 7天4板;
鹭燕医药 2天2板;",
IP经济,,,,6只;,"5只;
三湘印象 2天2板;"
家居装饰,,,,2只;,
房地产概念,,,,,"5只;
中天服务 3天3板;
科新发展 3天2板;"
海南,,,,,4只;
纺织服装,,,,,2只;
创新药,,,,,2只;
光伏,,,,,2只;
