类别,周一0113,周二0114,周三0115,周四0116,周五0117
市场焦点股,"美邦股份 8连板;
来伊份 16天9板3连板;
康盛股份 8天6板;","美邦股份 9连板;
来伊份 17天10板4连板;
康盛股份 9天7板2连板;
弘讯科技 6天5板;","美邦股份 10连板;
来伊份 18天11板5连板;
电光科技 18天11板;
苏豪弘业 5连板;
金奥博 5连板;","苏豪弘业 6连板;
金奥博 6连板;
来伊份 19天12板6连板;
广百股份 11天6板2连板;","电光科技 20天12板;
金奥博 7连板;
汇洲智能 9天6板4连板;"
机器人,"11只;
日海智能 7天4板;
金奥博 3天3板;
福达股份 2天2板;","29只;
弘讯科技 6天5板;
金奥博 4连板;
福达股份 3连板;
五洲新春 4天3板;
东方精工 6天3板;
宁波东力 2连板;
康尼机电 2连板;
建设工业 3天2板;
三花智控 4天2板;","12只;
金奥博 5天5板;
五洲新春 5天4板;
宁波东力 3天3板;
建设工业 4天3板;
巨轮智能 6天3板;
冀凯股份 2天2板;","6只;
金奥博 6天6板;
宁波东力 4天4板;
冀凯股份 3天3板;","11只;
电光科技 20天12板;
金奥博 7天7板;
冀凯股份 4天4板;
福达股份 6天4板;
巨轮智能 8天4板;"
并购重组,5只;,"4只;
南京公用 2连板;
立方数科 3天2板;",,4只;,
芯片产业链,4只;,,,,"13只;
茂硕电源 6天3板;"
食品饮料,"3只;
来伊份 3天3板;",,,,
化工,"3只;
先达股份 2天2板;",,,,"5只;
柳化股份 5天4板;"
氢能,3只;,"6只;
腾龙股份 2连板;",,"2只;
德创环保 3天3板;",
油气设服,2只;,,,,
回购,2只;,"2只;
顺发恒业 2连板;",,,
业绩超预期,2只;,"3只;
迪贝电气 8天4板;",2只;,4只;,"7只;
先锋电子 2天2板;"
PCB,2只;,"5只;
方正科技 6天4板;
协和电子 4天2板;
崇达技术 4天2板;","2只;
金安国纪 2天2板;","2只;
方正科技 8天5板;
金安国纪 3天3板;","6只;
金安国纪 4天4板;
宝鼎科技 3天2板;"
数据中心,"2只;
康盛股份 8天6板;
远程股份 4天3板;",,,4只;,2只;
小红书概念,,"13只;
来伊份 17天10板4连板;
利欧股份 6天4板;
元隆雅图 6天3板;","24只;
来伊份 5天5板;
利欧股份 7天5板;
汇洲智能 7天4板;
壹网壹创 2天2板;
皮阿诺 2天2板;
遥望科技 2天2板;
狮头股份 2天2板;
引力传媒 2天2板;
爱慕股份 2天2板;
天下秀 2天2板;
歌力思 2天2板;
国旅联合 2天2板;
三维通信 2天2板;
福石控股 2天2板;","14只;
来伊份 6天6板;
汇洲智能 8天5板;
遥望科技 3天3板;
国旅联合 3天3板;
天下秀 3天3板;
歌力思 3天3板;
狮头股份 3天3板;
爱慕股份 3天3板;
引力传媒 3天3板;
壹网壹创 3天3板;
好想你 6天3板;
思美传媒 2天2板;","4只;
汇洲智能 9天6板;
狮头股份 4天4板;
国旅联合 4天4板;
爱慕股份 4天4板;"
IP经济,,"4只;
苏豪弘业 4连板;",,,
液冷IDC,,"4只;
康盛股份 9天7板2连板;",,,
算力,,"8只;
柘中股份 7天4板;
华胜天成 4天2板;",3只;,,
汽车产业链,,5只;,,,
低空经济,,"7只;
岭南股份 6天3板;",,,
核电,,2只;,,,
零售,,"4只;
银座股份 6天4板;
大连友谊 2连板;",,"4只;
广百股份 11天6板;",
金融科技,,"5只;
恒银科技 6天3板2连板;",,,
农药,,"4只;
美邦股份 9连板;
先达股份 3连板;
中农联合 4天2板;",,,
次新,,1只;,,,
文创玩具,,,"4只;
苏豪弘业 5天5板;
广百股份 10天5板;
郑中设计 5天3板;
博通集成 5天3板;","4只;
苏豪弘业 6天6板;
博通集成 6天4板;",
旅游酒店,,,3只;,,
光伏,,,"3只;
海源复材 2天2板;",,
有色金属概念,,,,"5只;
金瑞矿业 2天2板;
红星发展 2天2板;",
家电,,,,4只;,
CPO,,,,3只;,
智能驾驶,,,,3只;,
AI眼镜,,,,"3只;
深康佳A 3天2板;",
医药,,,,,4只;
AMC,,,,,2只;
