类别,周一0203,周二0204,周三0205,周四0206,周五0207
市场焦点股,,,"冀凯股份 11天9板2连板;
新炬网络 5连板;","冀凯股份 12天10板3连板;
新炬网络 6连板;
美格智能 4连板;
每日互动 3连板;","冀凯股份 13天11板4连板;
新炬网络 7连板;
婴童通信 11天7板;
美格智能 5连板;"
算力工程,,,"21只;
竞业达 2天2板;","10只;
东方材料 2天2板;
汇洲智能 2天2板;
浙数文化 2天2板;
拓维信息 2天2板;","12只;
浙数文化 3天3板;
东方材料 3天3板;
汇洲智能 3天3板;
竞业达 4天3板;
海南华铁 2天2板;
莲华控股 2天2板;"
deepseek,,,"15只;
美格智能 3天3板;
每日互动 2天2板;
航锦科技 2天2板;
南威软件 2天2板;","14只;
美格智能 4天4板;
航锦科技 3天3板;
每日互动 3天3板;
青云科技-U 2天2板;
优刻得-W 2天2板;
杭钢股份 2天2板;
安凯微 2天2板;
天娱数科 2天2板;
安恒信息 2天2板;
梦网科技 2天2板;","13只;
美格智能 5天5板;
杭锦智能 4天4板;
青云科技-U 3天3板;
杭钢股份 3天3板;
优刻得-W 3天3板;
梦网科技 3天3板;
首都在线 3天2板;
并行科技 3天2板;"
华为产业链,,,13只;,,"6只;
拓维信息 3天2板;
恒为科技 3天2板;"
机器人,,,"13只;
冀凯股份 11天9板;
智信精密 2天2板;","50只;
冀凯股份 12天10板;
鸣志电器 2天2板;
精伦电子 2天2板;
旭升集团 4天2板;
祥鑫科技 4天2板;","9只;
冀凯股份 13天11板;
精伦电子 3天3板;
日发精机 2天2板;
世运电路 2天2板;
卧龙电驱 3天2板;"
人工智能,,,10只;,,
AI智能体,,,"8只;
新炬网络 5天5板;
泛微网络 3天3板;
盛通股份 3天2板;
用友网络 3天2板;
开普云 3天2板;","3只;
新炬网络 6天6板;
金财互联 4天3板;","2只;
新炬网络 7天7板;
用友网络 5天3板;"
存储器,,,4只;,,
AIPC,,,3只;,,
低空经济,,,2只;,,
智能驾驶,,,,"14只;
伯特利 2天2板;",3只;
AI眼镜,,,,12只;,"3只;
雷柏科技 2天2板;"
比亚迪智驾,,,,,"6只;
大为股份 3天3板;
联创电子 2天2板;
通达电气 2天2板;
万朗磁塑 2天2板;
中原内配 2天2板;"
比亚迪概念,,,,11只;,"5只;
华阳变速 2天2板;"
芯片产业链,,,,"9只;
大为股份 2天2板;",
医药,,,,3只;,
冰雪产业,,,,2只;,"3只;
通达创智 2天2板;
舒华体育 3天2板;"
光伏,,,,,"13只;
中科云网 3天2板;"
基因测序,,,,,5只;
光通信,,,,,5只;
AI医疗,,,,,"4只;
塞力医疗 4天2板;"
金融科技,,,,,2只;
