类别,周一0428,周二0429,周三0430,周四0501,周五0502
市场焦点股,"天元股份 11天7板;
浔兴股份 10天5板;
东贝集团 4连板;
永安药业 6天4板;","红墙股份 9天6板;
永安药业 7天5板2连板;
先达股份 7天5板;
茂业商业 4连板;
中欣氟材 6天4板;","中欣氟材 7天5板2连板;
鸿博股份 4连板;
渝三峡A 4连板;
东珠生态 6天4板2连板;",,
业绩超预期,"19只;
华银电力 3天3板;
鸿博股份 2天2板;
中电鑫龙 2天2板;
珀莱雅 2天2板;","26只;
华阳新材 2天2板;","19只;
渝三峡A 4天4板;
金鸿顺 2天2板;
精进电动UW 2天2板;
新坐标 2天2板;
金麒麟 3天2板;",,
化工,"7只;
永安药业 6天4板;
亚太实业 5天3板;
渝三峡A 2天2板;","13只;
红墙股份 9天6板;
先达股份 7天5板;
永安药业 7天5板;
渝三峡A 3天3板;
宿迁联盛 2天2板;",,,
算力工程,"4只;
天娱数科 2天2板;","6只;
鸿博股份 3天3板;","8只;
鸿博股份 4天4板;",,
电力,"3只;
华电辽能 2天2板;
华电能源 2天2板;",,,,
机器人,"3只;
东贝集团 4天4板;","12只;
方正电机 5天3板;","26只;
宁波东力 6天3板;
全筑股份 2天2板;",,
PEEK材料,2只;,"5只;
中欣氟材 6天4板;
新瀚新材 4天2板;",,,
其他,"夭沃科技 12天7板;
茂业商业 3天3板;
上海物贸 2天2板;
浔兴股份 3天2板;","茂业商业 4天4板;
东珠生态 5天3板;
塞力医疗 3天2板;
迪生力 4天2板;","东珠生态 12天6板;
中欣氟材 7天5板;
大千生态 3天2板;",,
食品饮料,,"4只;
会稽山 3天2板;",,,
医疗美容,,3只;,,,
AI智能体,,,4只;,,
芯片产业链,,,4只;,,
商业零售,,,"3只;
汉商集团 2天2板;",,
AI眼镜,,,"2只;
瀛通通讯 3天2板;",,
