类别,周一0728,周二0729,周三0730,周四0731,周五0801
市场焦点股,"上纬新材 14天11板;
西藏旅游 6连板;
山河智能 6天5板;
南方路机 6天5板;
韩建河山 6天5板;","西藏旅游 7连板;
南方路机 7天6板2连板;
山河智能 7天6板2连板;
西藏天路 7天6板;
西宁特钢 7天6板;
深水规院 7天5板;
亚太药业 10天5板2连板;
辰欣药业 7天4板2连板;","西藏旅游 8连板;
南方路机 8天7板3连板;
西宁特钢 8天7板2连板;
韩建河山 8天6板;
幸福蓝海 5天4板3连板;","西藏旅游 9连板;
南方路机 9天8板4连板;","胜通能源 3连板;
奇正藏药 3连板;
宏和科技 5天3板2连板;
亚太药业 5天3板;
天府文旅 5天3板;
文科股份 6天3板2连板;"
PCB,"15只;
铜冠铜箔 3天2板;",5只;,,"4只;
宏和科技 4天2板;","2只;
宏和科技 5天3板;"
医药,11只;,,,,
工程机械,"7只;
南方路机 6天5板;
山河智能 6天5板;
拓山重工 4天4板;",,,"2只;
南方路机 9天8板;",
军工,"6只;
博云新材 6天4板;",3只;,2只;,4只;,"4只;
淳中科技 2天2板;"
机器人,5只;,"6只;
南方路机 7天6板;","6只;
南方路机 8天7板;
王力安防 2天2板;",2只;,"3只;
中马传动 3天2板;"
算力工程,"4只;
直真科技 2天2板;",,,"3只;
东芯股份 3天2板;",
PEEK材料,3只;,,,,
数字货币,3只;,2只;,,,
农药,"2只;
新农股份 2天2板;",,,,
文化传媒,"2只;
幸福蓝海 3天2板;",,,,
体育产业,2只;,,"3只;
天府文旅 3天2板;",,
水利,"2只;
韩建河山 6天5板;
国统股份 6天4板;",,,,
其他,"西藏旅游 6天6板;
天普股份 6天3板;","西藏旅游 7天7板;
幸福蓝海 4天3板;
佛慈制药 2天2板;
华瓷股份 2天2板;
绿茵生态 4天2板;","韩建河山 8天6板;
佛慈制药 3天3板;
中化装备 2天2板;
八一钢铁 2天2板;
飞乐音响 4天2板;","西藏旅游 9连9板;
中化装备 3天3板;
胜通能源 2天2板;
奇正藏药 2天2板;","天府文旅 5天3板;
文科股份 6天3板;
利德曼 2天2板;"
创新药,,"13只;
辰欣药业 7天4板;
亚太药业 2天2板;","4只;
辰欣药业 8天5板;","10只;
南新制药 2天2板;
德展健康 2天2板;
奥翔药业 3天2板;","7只;
亚太药业 5天3板;
昂利康 2天2板;
贵州百灵 2天2板;"
超级水电,,"6只;
西宁特钢 7天6板;
山河智能 7天6板;
西藏天路 7天6板;
深水规院 7天5板;","4只;
西宁特钢 8天7板;",,
光通信,,5只;,2只;,,2只;
铜箔/覆铜板,,"3只;
方邦股份 2天2板;",,,
CRO/CMO,,2只;,2只;,,
芯片产业链,,2只;,4只;,,2只;
婴童,,2只;,"4只;
安正时尚 2天2板;
阳光乳业 2天2板;","4只;
安正时尚 3天3板;
阳光乳业 3天3板;
珠江股份 2天2板;","4只;
奇正藏药 3天3板;
倍加洁 2天2板;"
影视,,,"3只;
幸福蓝海 5天4板;",,
油气设服,,,3只;,,
特高压,,,"3只;
华瓷股份 3天3板;",,
西藏,,,"2只;
西藏旅游 8天8板;",,
业绩超预期,,,2只;,,
液冷IDC,,,,"10只;
英维克 2天2板;",
AI应用,,,,3只;,"7只;
环球印务 2天2板;"
辅助生殖,,,,2只;,"3只;
汉商集团 2天2板;
福元医药 4天2板;"
IDC电源,,,,"2只;
禾望电气 3天2板;",
光伏,,,,,3只;
快递物流,,,,,"2只;
胜通能源 3天3板;"
数据要素,,,,,2只;
