类别,周一0901,周二0902,周三0903,周四0904,周五0905
市场焦点股,"万通发展 17天9板;
济民健康 13天8板;
天普股份 7连板;
德创环保 5连板;
建业股份 4连板;","天普股份 8连板;
科森科技 13天7板;
凯迪股份 10天5板3连板;
兆新股份 4连板;","天普股份 9连板;
长飞光纤 8天5板;
宏裕包材 3连板;
西部黄金 3连板;
博杰股份 3连板;
吉视传媒 4天3板;","济民健康 16天9板;
宏裕包材 4连板;
长江材料 8天4板;
安正时尚 3连板;","安正时尚 4连板;
西部黄金 5天4板;
通润装备 3连板;
首开股份 3连板;
天宏锂电 2连板;"
有色金属概念,10只;,,,,
创新药,"8只;
康辰药业 2天2板;
华海药业 2天2板;",,4只;,,
算力工程,"8只;
江海股份 2天2板;",2只;,,,
固态电池,"7只;
德新科技 2天2板;
国轩高科 2天2板;
紫江企业 3天2板;","6只;
德新科技 3天3板;
英联股份 2天2板;","5只;
鹿山新材 2天2板;",6只;,"27只;
英联股份 5天3板;
天际股份 2天2板;
大东南 4天2板;"
芯片产业链,"6只;
建业股份 4天4板;
山子高科 3天2板;
洪田股份 3天2板;",,5只;,,"6只;
XD圣晖集团 3天2板;"
阿里巴巴概念,5只;,,,,
数字货币,"5只;
兆新股份 3天3板;",,,"3只;
元隆雅图 4天2板;",
光通信,4只;,,"3只;
长飞光纤 8天5板;",,"4只;
青山纸业 4天2板;"
业绩超预期,4只;,,,,
商业零售,"4只;
国光连锁 9天5板;",,,"6只;
欧亚集团 2天2板;
汇嘉时代 4天2板;",
液冷IDC,"3只;
荣亿精密 2天2板;",,"3只;
博杰股份 3天3板;",,
3D打印,"3只;
长江材料 5天3板;",,,,
机器人,"2只;
凯迪股份 6天3板;","19只;
凯迪股份 10天5板;","7只;
春兴精工 2天2板;","4只;
首开股份 2天2板;
景兴纸业 2天2板;","8只;
首开股份 3天3板;"
CRO/CMO,2只;,,,,
算力芯片,"2只;
天普股份 7天7板;
万通发展 8天5板;",,,,
化工,2只;,,,,
其他,"德创环保 5天5板;
三维通信 3天3板;
济民健康 4天3板;
飞马国际 2天2板;
吉视传媒 2天2板;","上海电力 2天2板;
中国瑞林 2天2板;
长春高新 2天2板;
宏裕包材 2天2板;","天普股份 9天9板;
西部黄金 3天3板;
宏裕包材 3天3板;
科新机电 2天2板;
中捷资源 2天2板;
百花医药 3天2板;
卓郎智能 4天2板;","长江材料 8天4板;
中国瑞林 4天3板;
中源家居 3天2板;
拉芳家化 4天2板;","安正时尚 4天4板;
西部黄金 5天4板;
中源家居 4天3板;
键邦股份 2天2板;"
低价股,,"18只;
兆新股份 4天4板;
山子高科 4天3板;",,,
工业母机,,4只;,,,"2只;
华东数控 4天2板;
秦川机床 4天2板;"
黄金概念,,3只;,,,
光伏,,3只;,,,"3只;
交建股份 4天2板;"
储能,,,5只;,"3只;
通润装备 2天2板;","10只;
通润装备 3天3板;
上海电力 5天3板;
天宏锂电 2天2板;"
影视,,,"3只;
吉视传媒 4天3板;
文投控股 3天2板;",,1只;
纺织服装,,,"2只;
安正时尚 2天2板;","3只;
安正时尚 3天3板;
美邦服饰 2天2板;",
食品饮料,,,,6只;,
锂电池,,,,"3只;
宏裕包材 4天4板;",
宠物经济,,,,2只;,
医疗器械,,,,"7只;
济民健康 7天4板;",
风电,,,,,7只;
PCB,,,,,4只;
碳化硅,,,,,3只;
智能驾驶,,,,,3只;
体育产业,,,,,2只;
