类别,周一0623,周二0624,周三0625,周四0626,周五0627
市场焦点股,"山东墨龙 7连板;
准油股份 7天6板;
诺德股份 5连板;
长城军工 4连板;
浙江东日 5天4板2连板;
兴业股份 7天4板3连板;","诺德股份 6连板;
浙江东日 6天5板3连板;
兴业股份 8天5板4连板;
湘潭电化 4连板;
中京电子 5天4板;","诺德股份 7连板;
兴业股份 9天6板5连板;
湘潭电化 5连板;
长城军工 6天5板;
英联股份 4连板;
新通联 4连板;","准油股份 10天7板;
长城军工 7天6板2板;
浙江东日 8天6板;
吉大正元 11天6板2连板;
新通联 5连板;
万里马 4天3板2连板;","中京电子 8天5板;
弘业期货 4连板;
大东南 4连板;"
化工,"12只;
永安药业 8天4板;
茂华实业 3天3板;
兴化股份 4天2板;",,2只;,,
跨境支付,"11只;
保税科技 2天2板;",,,,
军工,"11只;
长城军工 4天4板;",,"13只;
长城军工 6天5板;
万里马 3天2板;
湖南天雁 3天2板;","12只;
长城军工 7天6板;
万里马 4天3板;
湖南天雁 4天3板;
北方导航 2天2板;
建设工业 2天2板;
ST广道 2天2板;","7只;
飞亚达 2天2板;
中光防雷 2天2板;"
固态电池,"9只;
诺德股份 5天5板;
湘潭电化 3天3板;
英联股份 2天2板;","15只;
诺德股份 6天6板;
湘潭电化 4天4板;
英联股份 3天3板;
泰和科技 2天2板;
金龙羽 2天2板;
赛伍技术 3天2板;","9只;
诺德股份 7天7板;
兴业股份 9天6板;
湘潭电化 5天5板;
英联股份 4天4板;
泰和科技 3天3板;
天际股份 2天2板;
大东南 2天2板;
龙蟠科技 2天2板;","12只;
天际股份 3天3板;
大东南 3天3板;
沧州明珠 2天2板;","4只;
大东南 4天4板;
金龙羽 5天3板;"
芯片产业链,"7只;
兴业股份 7天4板;
建业股份 2天2板;
新亚强 2天2板;
大为股份 4天2板;","6只;
兴业股份 8天5板;
建业股份 3天3板;
新亚强 3天3板;",3只;,"3只;
好上好 2天2板;","8只;
诚邦股份  2天2板;"
航运港口,"5只;
宁波海运 2天2板;
兴通股份 2天2板;",,,,
油气设服,"5只;
山东墨龙 7天7板;
准油股份 7天6板;",,,"2只;
准油股份 10天7板;",
创新药,5只;,1只;,,,3只;
核污染防治,4只;,,,,
数字货币,3只;,"4只;
吉大正元 2天2板;
海联金汇 2天2板;","5只;
吉大正元 3天3板;
海联金汇 3天3板;","10只;
吉大正元 4天4板;
京北方 2天2板;",4只;
AI眼镜,3只;,,5只;,"2只;
中光学 2天2板;",
有色-钴,2只;,,,,
短剧,2只;,,,,
其他,"浙江东日 5天4板;
逸豪新材 4天3板;
天顺股份 5天3板;
新通联 2天2板;
安妮股份 2天2板;
美诺华 2天2板;","浙江东日 6天5板;
新通联 3天3板;
欢瑞世纪 2天2板;
顺灏股份 2天2板;","新通联  4天4板;
合力泰 2天2板;
三星新材 3天2板;
银座股份 3天2板;","浙江东日 8天6板;
新通联 5天5板;
合力泰 3天3板;
欢瑞世纪 4天3板;
银座股份 4天3板;","飞马国际 4天2板;
北方国际 4天2板;"
机器人,,10只;,"2只;
联诚精密 2天2板;",,
智能驾驶,,6只;,"4只;
永安行 2天2板;
瑞玛精密 2天2板;
浙江世宝 2天2板;",,
网约车,,5只;,,,
金融科技,,3只;,"6只;
天利科技 2天2板;
恒银科技 2天2板;",2只;,2只;
大金融,,3只;,"9只;
国盛金控 2天2板;
弘业期货 2天2板;
湘财股份 2天2板;","5只;
国盛金控 3天3板;
弘业期货 3天3板;
爱建集团 2天2板;
瑞达期货 2天2板;
南华期货 2天2板;","2只;
弘业期货 4天4板;
爱建集团 3天3板;"
PCB,,"2只;
中京电子 5天4板;",,,"3只;
中京电子 8天5板;"
游戏,,2只;,,,
一带一路,,2只;,,,
PEEK材料,,1只;,,,
深海科技,,,,"6只;
国瑞科技 2天2板;",
旅游酒店,,,,3只;,
有色金属,,,,,6只;
锂电池,,,,,"4只;
时代万恒 2天2板;
野马电池 3天2板;"
高速连接器,,,,,3只;
华为海思,,,,,"3只;
好上好 3天3板;"
小米汽车,,,,,"3只;
渤海汽车 2天2板;"
水利,,,,,2只;
AI医疗,,,,,2只;
