序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,000838,财信发展,0.7712082266807556,3.92,4.28,1101787008,4130762151.6,4313811729.92,25.344974517822266,0.0,092500,3,2/1,9.511568069458008,房地产开,2025-12-04
2,603286,日盈电子,-3.907637596130371,54.1,61.93,1477377200,6243942357.1,6351119867.1,22.203758239746094,-0.478292852640152,093005,1,2/1,15.861455917358398,汽车零部,2025-12-04
3,000678,襄阳轴承,-1.4454665184020996,15.0,16.74,1986286192,6894176955.0,6894176880.0,26.983983993530273,0.0,093012,1,0/0,11.43232536315918,汽车零部,2025-12-04
4,603162,海通发展,2.1377670764923096,12.9,13.89,950831696,3600699548.4,11982276249.6,25.29448127746582,-0.15479876101016998,093042,2,0/0,8.630245208740234,航运港口,2025-12-04
5,600467,好当家,2.7397260665893555,3.0,3.21,1233139152,4382982912.0,4382982912.0,27.038862228393555,-0.3322259187698364,093055,4,2/1,8.219178199768066,农牧饲渔,2025-12-04
6,603711,香飘飘,-2.2250478267669678,15.38,17.3,716116992,6350003658.0,6350003596.4800005,10.54659652709961,0.2607561945915222,093139,1,2/1,13.858868598937988,食品饮料,2025-12-04
7,003016,欣贺股份,3.0505244731903076,10.81,11.54,395249376,4441643522.02,4545838668.96,8.674032211303711,0.09259258955717087,093145,1,2/1,10.009532928466797,纺织服装,2025-12-04
8,002029,七 匹 狼,4.067460536956787,10.49,11.09,845721680,6980108509.91,7395696892.64,11.983601570129395,-0.095238097012043,093206,1,0/0,9.325397491455078,纺织服装,2025-12-04
9,001336,楚环科技,-4.312478065490723,27.07,31.12,395727264,1261006141.2,2175710645.0,29.11984634399414,-1.7422868013381958,093706,1,2/1,18.098268508911133,专用设备,2025-12-04
10,603211,晋拓股份,6.6666669845581055,18.24,18.81,242063220,4957777920.0,4957777920.0,4.850766181945801,0.16474464535713196,093716,1,0/0,9.64912223815918,汽车零部,2025-12-04
11,603598,引力传媒,3.3805887699127197,18.96,20.17,880165584,5100069871.92,5105757815.04,16.925323486328125,0.05277044698596001,094118,1,0/0,9.978190422058105,文化传媒,2025-12-04
12,002667,威领股份,1.8941868543624878,15.6,16.84,686838384,3691131600.0,4065227400.0,18.274921417236328,0.5154638886451721,094642,1,0/0,11.887655258178711,能源金属,2025-12-04
13,603698,航天工程,5.178663730621338,20.31,21.24,784440944,10885956900.0,10885956900.0,7.1117143630981445,-0.04921259731054306,094811,1,0/0,11.34127426147461,专业服务,2025-12-04
14,000547,航天发展,8.720930099487305,18.7,18.92,12634638592,29702158015.2,29891356686.399998,43.449501037597656,-0.42598509788513184,095424,3,15/9,13.372093200683594,通信设备,2025-12-04
15,002187,广百股份,3.648648738861084,7.67,8.14,805740384,5375861835.11,5375861888.8,14.667792320251465,0.0,100121,1,0/0,12.027027130126953,商业百货,2025-12-04
16,600879,航天电子,8.112874984741211,12.26,12.47,5294494720,40449409834.84,40449409761.28,13.150874137878418,0.08163265138864517,102409,4,0/0,11.904762268066406,航天航空,2025-12-04
17,000078,海王生物,6.415928840637207,4.81,4.97,3680591264,12633181873.779999,12655702899.839998,28.946640014648438,0.41753655672073364,104709,7,7/6,9.513274192810059,医药商业,2025-12-04
18,002961,瑞达期货,5.887483596801758,24.28,25.22,739121776,10805432561.2,10805487288.32,6.886750221252441,0.08244023472070694,104927,1,0/0,12.60357666015625,多元金融,2025-12-04
19,002050,三花智控,7.51320219039917,44.79,45.83,14481556480,165015207503.07,188476944193.44,8.858701705932617,0.0,105245,1,0/0,7.225155830383301,家电行业,2025-12-04
20,001330,博纳影业,9.056122779846191,8.55,8.62,2033278192,11752137313.2,11752137381.6,17.750967025756836,0.0,105921,2,0/0,9.566326141357422,文化传媒,2025-12-04
21,002723,小崧股份,7.909604072570801,9.55,9.74,536257536,3028435672.65,3173941277.6000004,18.00507164001465,0.0,130257,1,0/0,11.751412391662598,家电行业,2025-12-04
22,002544,普天科技,6.8263044357299805,29.89,30.78,2009069056,20339219784.94,20341157912.32,10.05424690246582,-0.10026737302541733,132833,1,0/0,11.865617752075195,通信服务,2025-12-04
23,002683,广东宏大,8.587687492370605,41.98,42.53,1229745152,27722970360.159996,31904894035.199997,4.564328193664551,0.023826543241739273,140715,2,0/0,12.027935981750488,采掘行业,2025-12-04
24,603223,恒通股份,8.943862915039062,11.45,11.56,551660144,8177441676.7,8177441607.999999,6.862798690795898,0.0,142636,5,0/0,9.89533805847168,物流行业,2025-12-04
25,600272,开开实业,8.166969299316406,17.88,18.18,753025456,2860800000.0,4696216776.599999,27.66925811767578,0.0,143703,1,0/0,14.277071952819824,医药商业,2025-12-04
26,000823,超声电子,8.23620891571045,13.93,14.16,954771664,7479976010.849999,7480292765.12,13.10303020477295,-0.5,144451,3,0/0,11.577311515808105,电子元件,2025-12-04
