序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,002370,亚太药业,5.9171600341796875,3.58,3.72,554774368,2647867924.96,2647867953.6,20.464143753051758,-0.27855151891708374,093045,4,0/0,11.242603302001953,化学制药,2025-04-03
2,002551,尚荣医疗,3.9156627655029297,3.45,3.65,249691698,2108009029.5,2916956287.2000003,11.640030860900879,-0.28901731967926025,093148,1,0/0,10.843374252319336,医疗器械,2025-04-03
3,300485,赛升药业,13.896102905273438,8.77,9.24,447272144,2401376686.14,4224214328.0,18.388986587524414,0.0,093245,2,0/0,20.909090042114258,生物制品,2025-04-03
4,300281,金明精机,13.915857315063477,7.04,7.42,710174528,2797174420.48,2949222031.36,25.028945922851562,0.0,093248,1,0/0,19.741100311279297,专用设备,2025-04-03
5,002923,润都股份,9.223847389221191,19.42,19.56,1150414208,5012007456.860001,6503627497.6,23.371793746948242,3.2429556846618652,093603,10,8/4,15.523059844970703,化学制药,2025-04-03
6,002337,赛象科技,5.1094889640808105,5.76,6.03,427350656,3386860024.3199997,3390426685.44,12.320037841796875,-0.34602075815200806,094036,1,0/0,11.131386756896973,专用设备,2025-04-03
7,603300,海南华铁,5.113636493682861,11.1,11.62,4603691264,22091672313.899998,22091672347.2,20.775814056396484,0.0,094404,1,0/0,11.742424011230469,专用设备,2025-04-03
8,002734,利民股份,5.223880767822266,11.28,11.79,670706512,3679499452.7999997,4155872893.4399996,17.937063217163086,0.35587188601493835,095845,1,0/0,9.141790390014648,农药兽药,2025-04-03
9,603630,拉芳家化,5.591909408569336,17.75,18.49,536331504,3997381295.0,3997381295.0,13.500950813293457,0.056369781494140625,095910,1,2/1,11.362284660339355,美容护理,2025-04-03
10,603999,读者传媒,5.685131072998047,7.25,7.55,659987216,4176000000.0,4176000000.0,15.639071464538574,0.13812154531478882,104347,5,0/0,12.244897842407227,文化传媒,2025-04-03
11,001317,三羊马,4.928741455078125,35.34,37.05,247528930,1483770326.5200002,2828836100.6400003,16.69490623474121,0.028304558247327805,110739,2,0/0,12.084322929382324,物流行业,2025-04-03
12,603079,圣达生物,5.870021343231201,15.15,15.74,332412768,2593512713.7000003,2593512713.7000003,12.798222541809082,-0.2633311450481415,131424,1,0/0,10.831585884094238,化学制品,2025-04-03
13,002427,尤夫股份,2.161100149154663,5.2,5.6,811308832,5124218767.2,5124250476.8,15.56511116027832,0.19267822802066803,134330,1,10/6,11.1984281539917,化纤行业,2025-04-03
14,002549,凯美特气,0.0,10.11,11.12,2375898384,6999754807.86,7029967309.44,33.03506851196289,0.0,141403,2,6/5,16.023738861083984,化学制品,2025-04-03
15,603938,三孚股份,5.850706100463867,15.74,16.36,432503712,6022509582.78,6022509567.04,7.538007736206055,0.06357278674840927,141938,1,0/0,16.207128524780273,化学制品,2025-04-03
