序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,600604,市北高新,0.5639097690582275,5.35,5.85,877333056,7529883201.4,10022180680.0,10.980507850646973,-0.18656715750694275,092503,4,2/1,9.774435997009277,房地产服,2025-06-26
2,603928,兴业股份,-6.673960208892822,17.06,20.11,1181651600,4471084800.0,4471084800.0,23.623733520507812,-0.4086398184299469,093128,2,10/6,17.067832946777344,塑料制品,2025-06-26
3,601890,亚星锚链,5.3125,10.11,10.56,2147498864,9699534000.0,9699534000.0,21.563980102539062,-0.0988142341375351,093206,8,0/0,9.895833969116211,船舶制造,2025-06-26
4,600570,恒生电子,4.0866875648498535,33.62,35.53,7890437376,63601222576.74,63601222408.63999,12.242589950561523,0.0,094757,1,0/0,9.566563606262207,软件开发,2025-06-26
5,002579,中京电子,5.033556938171387,12.52,13.11,3480824176,7280714208.88,7669985172.48,46.838287353515625,0.0,095351,7,7/4,9.899328231811523,电子元件,2025-06-26
6,300399,天利科技,15.019652366638184,40.97,42.74,3242147120,8094882303.25,8095672000.0,39.42928695678711,0.0,095430,6,3/2,7.74845552444458,互联网服,2025-06-26
7,601133,柏诚股份,3.6478984355926514,13.07,13.87,1067536768,1927825000.0,6890724412.4800005,53.94721221923828,0.0,100049,2,2/1,10.071372032165527,工程建设,2025-06-26
8,603726,朗迪集团,6.429462909698486,17.05,17.62,391888784,3137220460.0,3165352960.0,12.282718658447266,-0.05861664563417435,100933,7,0/0,10.861422538757324,家电行业,2025-06-26
9,603281,江瀚新材,3.9239983558654785,25.16,26.63,615650816,6332618926.56,9393066532.48,9.440316200256348,0.19912384450435638,101112,5,0/0,6.897976398468018,化学制品,2025-06-26
10,002803,吉宏股份,5.168539047241211,14.04,14.69,487457776,4054333439.52,6355617315.839999,11.929838180541992,0.0,101745,1,0/0,11.011236190795898,文化传媒,2025-06-26
11,002383,合众思壮,4.849660396575928,10.81,11.34,1670395584,8003294897.05,8003294886.240001,20.47481346130371,0.0,102054,4,0/0,11.445199012756348,计算机设,2025-06-26
12,600184,光电股份,3.932584524154663,16.65,17.62,1438448352,8470867752.9,8470867852.799999,16.631990432739258,0.06009615585207939,102745,8,2/1,10.112359046936035,专用设备,2025-06-26
13,000561,烽火电子,5.314960479736328,10.7,11.18,1369259008,6439153727.599999,8022530439.999999,21.27459716796875,0.0,104148,1,0/0,11.122047424316406,通信设备,2025-06-26
14,600622,光大嘉宝,4.2402825355529785,2.95,3.11,435556976,4424071935.900001,4424071953.6,9.749743461608887,0.0,110030,1,0/0,10.247349739074707,房地产开,2025-06-26
15,833943,优机股份,28.957996368408203,31.93,32.18,570418864,1315583308.44,3241577599.54,46.04146194458008,-0.1875586062669754,110540,5,0/0,29.967689514160156,通用设备,2025-06-26
16,603300,海南华铁,7.12890625,10.97,11.26,5976206592,21837437038.120003,21837436994.24,27.540739059448242,-0.09107468277215958,111550,4,0/0,10.64453125,专用设备,2025-06-26
17,600666,奥瑞德,4.013377666473389,3.11,3.29,1345786784,7525431627.849999,8594524957.279999,17.63756561279297,-0.3205128312110901,112458,1,0/0,10.702341079711914,光学光电,2025-06-26
18,600110,诺德股份,4.956268310546875,7.2,7.55,4205501184,12493302710.4,12493302681.6,33.03435134887695,0.0,130012,6,8/7,14.139941215515137,电池,2025-06-26
19,688151,华强科技,19.990829467773438,26.17,26.17,836446208,9015565000.0,9015565000.0,9.951933860778809,0.0,130013,3,0/0,20.036680221557617,专用设备,2025-06-26
20,600054,黄山旅游,5.897887229919434,12.03,12.5,520970256,6174999000.0,8774434663.199999,8.414895057678223,0.0,133805,1,0/0,10.299296379089355,旅游酒店,2025-06-26
21,600855,航天长峰,7.261724948883057,14.18,14.54,1119313504,6631131343.04,6643935996.48,17.22254180908203,0.0,134929,1,0/0,10.665657997131348,计算机设,2025-06-26
22,002490,山东墨龙,7.255520820617676,6.8,6.97,1268123520,3682972650.0,5425369120.0,35.1783561706543,-0.14684288203716278,140233,3,10/7,9.936908721923828,专用设备,2025-06-26
23,603948,建业股份,10.012360572814941,26.7,26.7,624343488,4338460758.9,4338460758.9,16.049468994140625,0.0,145538,2,5/3,20.024721145629883,化学制品,2025-06-26
