序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,688339,亿华通-U,8.130416870117188,26.2,29.08,673673728,4176005502.6,6069284522.2,15.140557289123535,0.0,092502,2,0/0,12.381345748901367,电池,2025-03-13
2,603359,东珠生态,-1.4950166940689087,5.93,6.62,512938096,2645349280.0,2645349280.0,18.065933227539062,0.0,093031,1,2/1,11.627907752990723,环保行业,2025-03-13
3,002196,方正电机,6.841046333312988,10.62,10.93,2186918400,5186918522.339999,5266159960.32,42.05543899536133,0.09425070881843567,093054,2,7/4,7.444667816162109,电机,2025-03-13
4,002553,南方精工,-4.135119438171387,16.46,18.89,1196754192,4128168000.0,5728080000.0,27.16512680053711,0.0,093118,1,0/0,14.50203800201416,汽车零部,2025-03-13
5,002692,远程股份,4.788213729858398,5.69,5.97,621162496,4084651707.7500005,4086250740.0000005,14.960625648498535,0.17605634033679962,093454,2,0/0,8.655616760253906,电网设备,2025-03-13
6,002366,融发核电,4.225351810455322,5.18,5.47,976731200,6508485540.2,10779257016.64,14.712942123413086,0.19342359900474548,093503,1,0/0,8.048290252685547,电源设备,2025-03-13
7,603859,能科科技,5.75310754776001,36.58,38.05,1284258832,8951041902.58,8951041902.58,14.095330238342285,0.0,093910,1,0/0,10.20526123046875,软件开发,2025-03-13
8,002345,潮宏基,4.022988796234131,9.05,9.57,835105120,7847068253.250001,8041039971.200001,10.526813507080078,0.44395118951797485,101248,4,2/1,10.689655303955078,珠宝首饰,2025-03-13
9,002927,泰永长征,2.855329990386963,16.21,17.34,771186192,3576616546.0,3617945237.8,21.475378036499023,0.061728399246931076,101945,1,2/1,12.563451766967773,电网设备,2025-03-13
10,603193,润本股份,3.9680190086364746,35.11,37.15,210707364,3628137984.54,14205271184.32,5.757602214813232,0.0,102717,2,0/0,11.755995750427246,美容护理,2025-03-13
11,603958,哈森股份,-3.7091262340545654,19.73,22.54,951036672,4327972800.0,4327972800.0,20.449804306030273,-0.704579770565033,141717,4,3/2,17.325525283813477,纺织服装,2025-03-13
