序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301662,C宏工,61.21,-3.1,-1.96,53031,331433256.35,6.85,65.33,61.0,64.55,63.17,0.63,33.61,22.24,3.25,2025-04-23
2,603120,肯特催化,37.4,-5.15,-2.03,93606,351271344.0,3.37,38.38,37.05,38.01,39.43,0.73,42.27,36.16,3.0,2025-04-23
3,001335,信凯科技,37.4,-5.51,-2.18,80823,305541760.11,3.71,38.77,37.3,38.58,39.58,0.67,35.2,31.59,3.86,2025-04-23
4,301665,泰禾股份,28.16,-6.01,-1.8,134875,384472770.43,4.81,29.5,28.06,29.43,29.96,0.95,37.56,48.5,3.72,2025-04-23
5,603210,泰鸿万立,21.42,0.42,0.09,115333,248375750.0,1.69,21.75,21.39,21.48,21.33,0.75,15.67,41.26,4.34,2025-04-23
6,603257,中国瑞林,51.53,-2.22,-1.17,55503,288058378.0,1.97,52.54,51.5,52.01,52.7,0.62,22.75,39.83,2.56,2025-04-23
7,301658,首航新能,28.53,-0.35,-0.1,76549,220938716.25,4.47,29.6,28.32,28.32,28.63,0.95,19.77,45.45,3.84,2025-04-23
8,301616,浙江华业,44.88,1.72,0.76,56168,253862020.89,4.42,46.18,44.23,44.39,44.12,0.92,28.08,38.63,2.81,2025-04-23
9,301535,浙江华远,19.03,-0.68,-0.13,125734,241749212.2,3.24,19.58,18.96,19.05,19.16,0.81,20.99,75.13,7.21,2025-04-23
10,688757,胜科纳米,25.18,-2.59,-0.67,44574,112319941.0,4.02,25.99,24.95,25.61,25.85,0.87,13.68,125.1,11.25,2025-04-23
11,301629,矽电股份,174.99,-0.11,-0.19,19843,346361543.9,3.07,177.5,172.12,174.5,175.18,0.82,19.02,78.69,6.18,2025-04-23
