序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603400,华之杰,57.84,-1.63,-0.96,111316,628979242.0,10.9,60.41,54.0,54.92,58.8,0.74,56.8,32.63,4.73,2025-06-27
2,301678,新恒汇,53.57,14.0,6.58,266028,1361979159.85,14.9,55.0,48.0,48.0,46.99,0.84,58.45,62.52,6.57,2025-06-27
3,603382,海阳科技,31.45,-0.38,-0.12,46830,147277279.0,1.24,31.68,31.29,31.46,31.57,0.57,13.18,45.16,3.34,2025-06-27
4,688775,影石创新,169.0,-0.14,-0.23,23664,400810696.0,1.93,171.27,168.01,168.79,169.23,0.63,7.76,96.07,13.28,2025-06-27
5,603049,中策橡胶,44.42,0.77,0.34,46832,208016713.0,1.32,44.63,44.05,44.05,44.08,0.97,5.52,8.43,1.72,2025-06-27
6,301590,优优绿能,160.66,-1.74,-2.84,15837,257804186.31,3.21,165.77,160.52,165.49,163.5,0.82,19.4,27.48,3.5,2025-06-27
7,001390,古麒绒材,22.59,0.31,0.07,29893,67542559.76,0.89,22.7,22.5,22.57,22.52,0.69,6.1,29.64,3.04,2025-06-27
