序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301616,C华业,54.39,-2.14,-1.19,133711,696910130.03,20.21,59.78,48.55,50.0,55.58,0.91,66.86,46.82,3.4,2025-04-01
2,301535,C华远,23.16,-5.85,-1.44,354048,804144788.73,10.04,24.25,21.78,23.0,24.6,0.79,59.11,91.43,8.78,2025-04-01
3,688757,胜科纳米,24.61,3.45,0.82,123590,297489646.0,12.53,25.78,22.8,22.98,23.79,0.77,37.94,122.26,11.0,2025-04-01
4,301629,矽电股份,194.4,20.0,32.4,68383,1223543300.43,21.85,194.4,159.01,159.01,162.0,1.4,65.55,87.42,6.87,2025-04-01
5,001382,新亚电缆,25.01,2.08,0.51,290147,708033010.95,10.9,25.67,23.0,23.01,24.5,0.96,48.25,76.39,6.37,2025-04-01
6,603124,江南新材,46.78,4.05,1.82,80617,364871684.0,6.94,46.99,43.87,44.4,44.96,0.88,28.15,38.67,4.04,2025-04-01
7,301501,恒鑫生活,51.69,-2.07,-1.09,42533,218710050.36,2.24,52.08,50.9,51.96,52.78,0.93,17.59,23.98,2.71,2025-04-01
8,301479,弘景光电,126.07,7.74,9.06,52989,648564265.46,10.84,127.78,115.1,115.8,117.01,1.41,37.31,48.49,6.77,2025-04-01
9,603271,永杰新材,39.54,-0.85,-0.34,36568,144249348.0,1.55,39.78,39.16,39.41,39.88,0.79,9.48,24.35,2.98,2025-04-01
10,301275,汉朔科技,67.85,-1.88,-1.3,47768,322421223.48,3.63,68.95,66.44,68.21,69.15,0.89,15.04,40.35,7.66,2025-04-01
11,603409,汇通控股,38.51,-0.23,-0.09,22211,85187009.0,0.85,38.55,38.22,38.3,38.6,0.92,7.19,28.9,3.37,2025-04-01
12,301557,常友科技,78.85,0.25,0.2,12471,97779106.0,3.03,79.79,77.41,78.09,78.65,0.88,11.26,33.2,3.5,2025-04-01
13,301173,毓恬冠佳,56.19,0.7,0.39,25100,139579232.02,3.87,56.78,54.62,55.28,55.8,1.36,14.89,28.97,3.6,2025-04-01
