序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688757,N胜科,27.46,202.42,18.38,251104,693741990.0,57.6,31.0,25.77,31.0,9.08,,77.09,136.42,12.27,2025-03-25
2,301629,C矽电,158.34,0.26,0.41,56436,922596576.16,8.27,171.0,157.94,157.95,157.93,0.69,54.1,71.2,5.59,2025-03-25
3,001382,C新亚,25.5,-12.82,-3.75,327106,906252159.37,14.91,29.7,25.34,29.7,29.25,0.8,54.39,77.89,6.5,2025-03-25
4,603124,C江南,48.53,-4.88,-2.49,112534,568124027.0,9.13,53.1,48.44,51.49,51.02,0.58,39.3,40.12,4.2,2025-03-25
5,301501,C恒鑫生,53.15,-4.6,-2.56,52487,284311116.35,5.3,55.96,53.01,55.74,55.71,0.46,21.7,24.65,2.79,2025-03-25
6,301479,弘景光电,120.72,-13.11,-18.21,58495,748518317.84,13.61,138.91,120.0,137.0,138.93,0.79,41.18,46.43,6.48,2025-03-25
7,603271,永杰新材,38.81,0.41,0.16,41420,161360871.0,2.82,39.48,38.39,38.48,38.65,0.56,10.74,23.9,2.93,2025-03-25
8,301275,汉朔科技,68.03,-5.2,-3.73,64084,448525613.61,6.93,72.88,67.91,71.0,71.76,0.49,20.18,40.46,7.68,2025-03-25
9,603409,汇通控股,38.06,0.98,0.37,20566,78242200.0,1.25,38.29,37.82,37.99,37.69,0.5,6.66,28.56,3.33,2025-03-25
10,301557,常友科技,82.81,-0.89,-0.74,12690,105680715.86,2.66,84.38,82.16,83.0,83.55,0.48,11.45,34.87,3.68,2025-03-25
11,301173,毓恬冠佳,54.61,-0.26,-0.14,13488,74080476.67,1.95,55.49,54.42,54.77,54.75,0.41,8.0,28.15,3.5,2025-03-25
