序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301658,N首航,40.65,244.49,28.85,314523,1210346962.4,78.31,44.8,35.56,40.0,11.8,,81.21,64.75,5.47,2025-04-02
2,301616,C华业,57.81,6.29,3.42,129188,722518779.54,15.57,59.46,50.99,51.83,54.39,0.9,64.59,49.76,3.62,2025-04-02
3,301535,C华远,22.47,-2.98,-0.69,264675,591363753.31,4.79,22.99,21.88,22.25,23.16,0.62,44.19,88.71,8.51,2025-04-02
4,688757,胜科纳米,24.26,-1.42,-0.35,84997,208419394.0,3.9,25.07,24.11,24.18,24.61,0.63,26.09,120.52,10.84,2025-04-02
5,301629,矽电股份,183.0,-5.86,-11.4,56566,1048158116.05,10.81,199.9,178.88,193.0,194.4,1.11,54.22,82.29,6.46,2025-04-02
6,001382,新亚电缆,24.66,-1.4,-0.35,201673,498400520.01,4.36,25.27,24.18,24.8,25.01,0.68,33.53,75.33,6.29,2025-04-02
7,603124,江南新材,45.86,-1.97,-0.92,53200,245667414.0,2.42,46.84,45.71,46.01,46.78,0.62,18.58,37.91,3.96,2025-04-02
8,301501,恒鑫生活,52.5,1.57,0.81,37175,193135647.0,3.37,52.86,51.12,51.2,51.69,0.85,15.37,24.35,2.75,2025-04-02
9,301479,弘景光电,127.0,0.74,0.93,40325,506954541.51,5.77,128.78,121.51,122.74,126.07,1.11,28.39,48.85,6.82,2025-04-02
10,603271,永杰新材,38.82,-1.82,-0.72,34435,134330242.0,2.05,39.53,38.72,39.3,39.54,0.76,8.93,23.91,2.93,2025-04-02
11,301275,汉朔科技,67.12,-1.08,-0.73,35649,240030811.3,2.89,68.5,66.54,67.28,67.85,0.7,11.22,39.92,7.58,2025-04-02
12,603409,汇通控股,38.38,-0.34,-0.13,19910,76747327.0,1.32,38.76,38.25,38.35,38.51,0.81,6.45,28.8,3.35,2025-04-02
13,301557,常友科技,80.7,2.35,1.85,15854,127282698.0,4.01,81.27,78.11,78.21,78.85,1.12,14.31,33.98,3.58,2025-04-02
14,301173,毓恬冠佳,55.57,-1.1,-0.62,15596,87146726.89,2.14,56.5,55.3,56.2,56.19,0.75,9.25,28.65,3.56,2025-04-02
