序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688583,C思看,90.01,-4.92,-4.66,56604,519643053.0,8.19,96.76,89.01,93.6,94.67,0.67,44.29,57.31,5.69,2025-01-17
2,301601,C惠通,39.03,-12.27,-5.46,153815,619098642.47,7.69,42.3,38.88,42.28,44.49,0.73,51.32,46.39,4.37,2025-01-17
3,688758,赛分科技,15.63,-1.08,-0.17,75126,119461104.0,4.37,16.3,15.61,15.68,15.8,0.35,19.02,89.6,5.34,2025-01-17
4,301458,钧崴电子,33.46,-11.18,-4.21,266424,921238943.89,9.34,36.98,33.46,36.98,37.67,0.71,43.62,73.42,5.71,2025-01-17
5,603072,天和磁材,38.39,-3.47,-1.38,161356,628211785.0,4.63,39.96,38.12,38.92,39.77,0.48,24.92,71.42,5.0,2025-01-17
6,301581,黄山谷捷,55.27,0.09,0.05,43317,237893453.87,5.89,56.56,53.31,55.0,55.22,0.64,21.66,36.71,4.47,2025-01-17
7,001391,国货航,7.13,-2.33,-0.17,1159583,830686571.58,2.6,7.29,7.1,7.29,7.3,0.48,13.82,58.15,3.61,2025-01-17
8,603194,中力股份,34.48,-2.21,-0.78,61582,213879705.0,2.13,35.17,34.42,34.93,35.26,0.69,12.36,15.96,2.98,2025-01-17
9,301598,博科测试,69.19,-0.79,-0.55,32580,226525541.6,6.38,71.8,67.35,68.39,69.74,0.96,22.13,46.88,4.32,2025-01-17
10,301585,蓝宇股份,41.8,-2.9,-1.25,27072,114130543.02,2.44,42.8,41.75,42.79,43.05,0.84,14.27,30.55,3.59,2025-01-17
