序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301665,N泰禾,40.05,289.97,29.78,297560,1221055635.29,55.89,45.0,39.26,45.0,10.27,,82.87,68.98,5.29,2025-04-11
2,603210,C泰鸿,24.78,-17.48,-5.25,409818,1044817474.0,6.89,26.69,24.62,26.48,30.03,0.8,55.69,47.73,5.02,2025-04-11
3,603257,C瑞林,58.8,-15.24,-10.57,143374,866753528.0,10.7,64.99,57.57,63.0,69.37,0.76,58.76,45.45,2.92,2025-04-11
4,301658,首航新能,29.99,-3.44,-1.07,139635,419398438.42,4.35,30.66,29.31,29.67,31.06,0.58,36.06,47.77,4.04,2025-04-11
5,301616,浙江华业,41.7,-2.32,-0.99,45893,193066198.48,4.38,42.93,41.06,41.06,42.69,0.47,22.95,35.89,2.61,2025-04-11
6,301535,浙江华远,17.98,-1.21,-0.22,136328,248213714.48,3.85,18.48,17.78,17.78,18.2,0.55,22.76,70.98,6.81,2025-04-11
7,688757,胜科纳米,24.85,9.91,2.24,105029,257989821.0,17.16,25.98,22.1,22.1,22.61,1.28,32.24,123.46,11.1,2025-04-11
8,301629,矽电股份,169.58,4.0,6.52,44323,751001935.31,11.21,177.28,159.0,159.03,163.06,0.98,42.49,76.25,5.99,2025-04-11
9,001382,新亚电缆,20.58,-0.72,-0.15,137983,285775613.05,4.68,21.09,20.12,20.12,20.73,0.56,22.94,62.86,5.25,2025-04-11
10,603124,江南新材,40.82,1.74,0.7,49264,199667403.0,7.78,41.73,38.61,38.61,40.12,0.78,17.2,33.74,3.53,2025-04-11
11,301501,恒鑫生活,46.16,0.02,0.01,27100,125618924.56,3.66,46.99,45.3,45.3,46.15,0.51,11.21,21.41,2.42,2025-04-11
12,301479,弘景光电,106.5,2.5,2.6,23809,249967319.02,7.85,109.18,101.02,101.02,103.9,0.78,16.76,40.96,5.72,2025-04-11
