序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301563,C云汉,142.27,-13.55,-22.29,82949,1215947606.38,16.03,162.58,136.2,142.0,164.56,0.72,59.45,85.91,7.9,2025-10-10
2,001285,C瑞立,59.3,-3.1,-1.9,150279,897436509.97,9.64,63.48,57.58,58.0,61.2,0.62,36.99,37.7,2.97,2025-10-10
3,301668,C昊创,57.8,9.18,4.86,158024,895912675.52,25.99,63.21,49.45,50.0,52.94,1.09,68.56,51.6,6.27,2025-10-10
4,301656,联合动力,29.91,-6.24,-1.99,400379,1216692310.74,5.67,31.63,29.82,31.18,31.9,0.54,23.99,65.51,8.01,2025-10-10
5,301584,建发致新,27.02,-4.01,-1.13,153710,415559520.96,3.94,27.81,26.7,26.92,28.15,0.5,30.48,41.53,5.74,2025-10-10
6,603418,友升股份,63.89,-1.69,-1.1,61298,394333599.0,2.38,65.27,63.72,64.0,64.99,0.54,15.16,27.85,2.89,2025-10-10
7,301575,艾芬达,56.68,2.0,1.11,29527,166063510.0,2.84,56.68,55.1,55.35,55.57,1.36,17.86,41.09,3.68,2025-10-10
