序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301632,C广建科,37.0,-1.41,-0.53,380371,1390870613.55,17.05,40.68,34.28,35.97,37.53,0.72,55.24,-275.16,5.88,2025-08-15
2,603406,天富龙,44.02,-2.18,-0.98,99536,437435136.0,1.98,44.49,43.6,43.6,45.0,0.5,28.01,38.95,3.86,2025-08-15
3,301491,汉桑科技,63.5,1.2,0.75,37306,235569346.58,1.93,63.58,62.37,62.48,62.75,0.46,13.78,54.42,4.16,2025-08-15
4,001221,悍高集团,48.29,3.36,1.57,63483,303301636.7,6.36,49.2,46.23,46.23,46.72,0.78,18.18,41.78,8.14,2025-08-15
5,603262,技源集团,30.32,1.27,0.38,30852,93083085.0,1.17,30.32,29.97,30.13,29.94,0.84,7.95,71.17,8.31,2025-08-15
6,301609,山大电力,48.95,2.58,1.23,52343,253889185.29,2.56,49.0,47.78,47.78,47.72,1.29,15.06,115.11,6.86,2025-08-15
7,600930,华电新能,6.46,0.0,0.0,1374455,882902346.0,1.24,6.47,6.39,6.43,6.46,0.88,5.49,22.65,2.56,2025-08-15
