序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301662,C宏工,63.18,-6.16,-4.15,72064,461139175.71,7.74,68.01,62.8,68.0,67.33,0.69,45.68,22.95,3.36,2025-04-21
2,603120,C肯特,38.37,-6.89,-2.84,97544,379736993.0,6.02,40.6,38.12,40.0,41.21,0.67,44.05,37.1,3.08,2025-04-21
3,001335,C信凯,39.0,-5.36,-2.21,97997,382568304.53,6.53,40.9,38.21,40.61,41.21,0.64,42.67,32.94,4.02,2025-04-21
4,301665,泰禾股份,27.67,0.4,0.11,74764,206686348.55,2.21,27.94,27.33,27.55,27.56,0.45,20.82,47.66,3.65,2025-04-21
5,603210,泰鸿万立,21.53,2.04,0.43,124372,265791766.0,2.94,21.55,20.93,21.01,21.1,0.6,16.9,41.47,4.36,2025-04-21
6,603257,中国瑞林,53.2,1.1,0.58,63024,334949915.0,3.5,54.02,52.18,52.5,52.62,0.54,25.83,41.12,2.64,2025-04-21
7,301658,首航新能,28.19,0.89,0.25,53745,151329205.16,2.72,28.45,27.69,27.7,27.94,0.58,13.88,44.9,3.8,2025-04-21
8,301616,浙江华业,45.6,4.52,1.97,86621,396312857.65,12.93,49.2,43.56,43.56,43.63,1.62,43.31,39.25,2.85,2025-04-21
9,301535,浙江华远,18.97,-1.56,-0.3,142216,272407822.94,3.89,19.6,18.85,19.29,19.27,0.83,23.74,74.89,7.19,2025-04-21
10,688757,胜科纳米,25.9,10.64,2.49,84345,214468052.0,13.84,26.55,23.31,23.31,23.41,1.87,25.89,128.67,11.57,2025-04-21
11,301629,矽电股份,171.99,5.52,8.99,26685,448826105.14,7.39,172.94,160.9,161.3,163.0,1.14,25.58,77.34,6.07,2025-04-21
