序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603072,N天和,48.0,290.24,35.7,507820,2549722539.0,503.98,100.0,38.01,40.0,12.3,,78.43,89.3,6.25,2025-01-03
2,301581,N黄山谷,70.01,154.58,42.51,157534,1301800741.49,112.33,99.99,69.1,80.0,27.5,,78.77,46.5,5.66,2025-01-03
3,001391,C国货航,7.54,-13.23,-1.15,3626442,2940787147.63,14.73,8.78,7.5,8.42,8.69,0.71,43.23,61.49,3.81,2025-01-03
4,603194,中力股份,35.72,1.25,0.44,135473,484999215.0,5.75,36.99,34.96,35.2,35.28,0.83,27.19,16.54,3.09,2025-01-03
5,301598,博科测试,61.11,-4.72,-3.03,38051,239977259.17,6.98,65.45,60.97,64.0,64.14,0.73,25.84,41.4,3.81,2025-01-03
6,301585,蓝宇股份,47.02,1.56,0.72,48577,225981305.91,5.59,47.47,44.88,46.4,46.3,0.94,25.61,34.36,4.04,2025-01-03
7,688605,先锋精科,77.37,0.0,0.0,65663,521832473.0,6.05,81.68,77.0,78.2,77.37,0.84,17.26,67.08,10.87,2025-01-03
8,301617,博苑股份,46.99,-3.85,-1.88,26754,128748583.86,4.73,49.2,46.89,49.01,48.87,0.94,10.98,21.19,3.0,2025-01-03
9,688708,佳驰科技,58.1,-1.86,-1.1,21470,127258065.0,3.58,60.2,58.08,58.8,59.2,0.37,6.01,54.41,7.71,2025-01-03
10,301622,英思特,61.65,0.8,0.49,51588,326690195.63,8.57,65.99,60.75,61.51,61.16,1.35,18.77,38.98,4.95,2025-01-03
