序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301616,C华业,55.58,25.04,11.13,159048,849898092.71,44.68,66.66,46.8,46.83,44.45,1.13,79.52,47.84,3.48,2025-03-31
2,301535,C华远,24.6,8.61,1.95,458285,1136632096.03,36.87,29.95,21.6,23.6,22.65,1.03,76.51,97.12,9.32,2025-03-31
3,688757,C胜科,23.79,3.57,0.82,168390,418244762.0,18.24,27.14,22.95,23.25,22.97,1.06,51.69,118.19,10.63,2025-03-31
4,301629,矽电股份,162.0,2.94,4.62,46549,772186282.55,14.4,176.66,154.0,154.0,157.38,0.83,44.62,72.85,5.72,2025-03-31
5,001382,新亚电缆,24.5,-3.12,-0.79,354391,898542290.01,12.81,27.0,23.76,25.3,25.29,1.19,58.93,74.84,6.24,2025-03-31
6,603124,江南新材,44.96,0.99,0.44,76853,345085606.0,5.73,46.18,43.63,44.6,44.52,0.74,26.84,37.17,3.89,2025-03-31
7,301501,恒鑫生活,52.78,2.47,1.27,54948,290240076.11,5.79,54.18,51.2,51.59,51.51,1.16,22.72,24.48,2.77,2025-03-31
8,301479,弘景光电,117.01,0.87,1.01,31736,372702819.37,3.92,119.6,115.05,115.97,116.0,0.77,22.34,45.01,6.28,2025-03-31
9,603271,永杰新材,39.88,0.4,0.16,59386,236297072.0,4.1,40.4,38.77,39.47,39.72,1.35,15.4,24.56,3.01,2025-03-31
10,301275,汉朔科技,69.15,0.6,0.41,64396,451329389.68,8.0,72.66,67.16,69.21,68.74,1.19,20.28,41.13,7.81,2025-03-31
11,603409,汇通控股,38.6,2.91,1.09,35345,135130774.0,3.15,38.6,37.42,37.69,37.51,1.49,11.45,28.97,3.37,2025-03-31
12,301557,常友科技,78.65,1.47,1.14,13255,104111387.85,3.95,79.66,76.6,76.6,77.51,0.83,11.96,33.12,3.49,2025-03-31
13,301173,毓恬冠佳,55.8,3.16,1.71,28685,159661780.65,5.86,56.88,53.71,54.0,54.09,1.72,17.01,28.77,3.58,2025-03-31
