序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,001388,C信通,56.73,-7.3,-4.47,139913,822319331.57,10.31,62.71,56.4,59.11,61.2,0.73,45.76,289.52,6.21,2025-07-04
2,603400,华之杰,52.53,-1.63,-0.87,30038,158292216.0,2.04,53.4,52.31,53.2,53.4,0.43,15.33,29.64,4.29,2025-07-04
3,301678,新恒汇,51.7,-4.17,-2.25,136065,704202290.16,5.69,54.07,51.0,53.94,53.95,0.59,29.9,60.34,6.34,2025-07-04
4,603382,海阳科技,30.95,-1.4,-0.44,33876,105591041.0,1.88,31.45,30.86,31.44,31.39,0.82,9.54,44.44,3.28,2025-07-04
5,688775,影石创新,168.41,-0.88,-1.49,14807,249576732.0,1.47,169.79,167.3,168.9,169.9,0.6,4.85,95.74,13.23,2025-07-04
6,603049,中策橡胶,45.42,1.63,0.73,80665,366580621.0,2.82,45.87,44.61,44.61,44.69,2.13,9.51,8.62,1.76,2025-07-04
7,301590,优优绿能,152.5,-3.52,-5.57,12234,188665029.19,3.13,157.44,152.5,157.44,158.07,1.08,14.98,26.09,3.32,2025-07-04
