序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301560,C众捷,41.3,3.48,1.39,117005,467972087.59,10.02,42.0,38.0,39.0,39.91,0.7,50.65,61.63,5.51,2025-04-29
2,603202,C天有,101.81,-0.15,-0.15,55516,574346045.0,3.79,105.66,101.8,102.6,101.96,0.39,17.06,16.95,2.44,2025-04-29
3,001400,C江顺科,56.3,-1.16,-0.66,34190,193785205.79,2.18,57.44,56.2,56.37,56.96,0.42,22.79,25.21,2.72,2025-04-29
4,301662,宏工科技,51.66,-2.44,-1.29,27026,140384774.76,2.36,52.56,51.31,51.5,52.95,0.59,17.13,59.59,2.74,2025-04-29
5,603120,肯特催化,35.71,-0.08,-0.03,35052,125650354.0,1.59,36.17,35.6,35.68,35.74,0.5,15.83,45.97,2.82,2025-04-29
6,001335,信凯科技,37.37,1.83,0.67,66322,247522650.24,5.97,38.31,36.12,36.55,36.7,1.07,28.88,37.28,3.76,2025-04-29
7,301665,泰禾股份,27.5,-2.2,-0.62,59685,166399806.81,2.67,28.25,27.5,28.01,28.12,0.54,16.62,39.4,3.54,2025-04-29
8,603210,泰鸿万立,20.18,0.1,0.02,54905,111002214.0,1.19,20.36,20.12,20.16,20.16,0.53,7.46,38.92,3.98,2025-04-29
9,603257,中国瑞林,47.29,-1.25,-0.6,31160,148317456.0,1.71,48.06,47.24,47.89,47.89,0.63,12.77,102.37,2.34,2025-04-29
10,301658,首航新能,28.56,2.4,0.67,83412,241948845.05,3.33,29.48,28.55,28.9,27.89,1.22,21.54,56.1,3.33,2025-04-29
