序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688727,C恒坤,58.22,-3.05,-1.83,238152,1453654674.0,13.31,65.68,57.69,60.93,60.05,0.63,47.4,265.46,10.56,2025-11-20
2,301638,C南网数,22.0,-7.91,-1.89,1254875,2843877159.32,12.64,24.77,21.75,22.8,23.89,0.71,53.4,331.77,6.56,2025-11-20
3,603092,德力佳,75.27,8.54,5.92,123793,918417326.0,10.58,76.29,68.95,69.35,69.35,1.65,37.01,35.85,5.68,2025-11-20
4,603376,大明电子,41.13,0.22,0.09,40113,165165071.0,2.12,41.58,40.71,41.11,41.04,0.7,12.92,63.99,9.77,2025-11-20
5,603334,丰倍生物,46.88,0.73,0.34,39402,185354865.0,2.49,47.55,46.39,46.39,46.54,0.7,12.69,43.01,4.03,2025-11-20
6,688783,西安奕材-U,24.2,-4.23,-1.07,162933,403855374.0,6.33,25.8,24.2,25.69,25.27,0.88,9.9,-131.38,7.76,2025-11-20
7,688765,禾元生物-U,78.51,0.17,0.13,39091,309039948.0,3.36,80.6,77.97,79.3,78.38,0.62,9.54,-173.58,9.59,2025-11-20
8,688759,必贝特-U,29.98,7.73,2.15,97936,288235576.0,8.3,30.3,27.99,28.0,27.83,2.17,21.08,-94.16,7.91,2025-11-20
9,603175,超颖电子,78.33,2.02,1.55,110353,875071581.0,5.7,81.88,77.5,78.96,76.78,0.84,25.08,121.32,11.89,2025-11-20
10,001386,马可波罗,23.65,0.21,0.05,76470,180736122.41,2.2,23.93,23.41,23.61,23.6,0.79,7.81,19.95,2.3,2025-11-20
