序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
18,002564,天沃科技,10.09009075164795,6.11,253439444,5247906354.47,5247906372.8,4.899744033813477,57704556,093809,093809,0,1/1,1,专业服务,2025-07-10
46,831039,国义招标,30.000001907348633,19.11,438502352,2939498289.0,2939500200.0,16.631134033203125,12459204,131920,132029,1,2/2,2,专业服务,2025-07-10
42,000584,工智退,11.538461685180664,0.29,15207447,220070043.51,220671899.35999998,7.093601703643799,875302,110845,133339,7,1/1,1,专用设备,2025-07-10
60,603439,贵州三力,9.966216087341309,13.02,402083216,5257999612.32,5335624956.48,7.863886833190918,18936288,143226,145202,9,1/1,1,中药,2025-07-10
47,000590,启迪药业,9.991743087768555,13.32,271800464,3188427407.64,3189757276.44,9.002930641174316,44182559,131936,131936,0,1/1,1,中药,2025-07-10
35,002107,沃华医药,9.949409484863281,6.52,201269945,3713900557.9999995,3763406591.9999995,5.606454849243164,79862606,101121,101121,0,1/1,1,中药,2025-07-10
27,002657,中科金财,10.0,31.79,3657235120,10692765632.56,10810253080.0,35.02717208862305,47656389,094745,145100,6,1/1,1,互联网服,2025-07-10
29,003005,竞业达,10.015329360961914,21.53,296049680,2733840775.1800003,4981798517.2300005,11.134828567504883,44719963,095248,095248,0,1/1,1,互联网服,2025-07-10
14,601908,京运通,10.028653144836426,3.84,316109088,9272074986.24,9272074997.76,3.4633629322052,183864364,093231,093231,0,1/1,1,光伏设备,2025-07-10
62,603778,国晟科技,9.927360534667969,4.54,686860656,2918571424.68,2981155261.12,24.88278579711914,16388832,144615,144727,1,2/2,2,光伏设备,2025-07-10
17,002218,拓日新能,10.049019813537598,4.49,1076928240,6251868138.01,6344462242.56,17.5519962310791,73159162,093333,095000,3,3/3,3,光伏设备,2025-07-10
37,603185,弘元绿能,10.02849006652832,19.31,1398896752,13111918720.619999,13111918836.48,10.998292922973633,5065360,101900,145421,6,3/2,1,光伏设备,2025-07-10
50,002459,晶澳科技,9.962756156921387,11.81,2456877296,39037014983.05,39087315509.12,6.481504440307617,24693469,133542,145033,3,1/1,1,光伏设备,2025-07-10
34,002506,协鑫集成,10.0,2.86,1421853360,16715090969.72,16731905315.84,8.686416625976562,73010652,101006,103448,2,1/1,1,光伏设备,2025-07-10
13,605399,晨光新材,10.007942199707031,13.85,72405213,4324210436.0,4333683836.0,1.717734456062317,78644524,093215,093215,0,1/1,1,化学制品,2025-07-10
16,605366,宏柏新材,10.031347274780273,7.02,233602855,4438975357.44,4438975357.44,5.3048200607299805,48399446,093323,093659,2,1/1,1,化学制品,2025-07-10
25,600513,联环药业,10.016155242919922,13.62,591929888,3887914397.3999996,3887914424.64,15.859458923339844,72930918,094608,094608,0,4/3,1,化学制药,2025-07-10
32,002653,海思科,10.00236988067627,46.41,253160476,24850669965.03,51975392894.88,1.0340427160263062,22115896,100036,100036,0,1/1,1,化学制药,2025-07-10
31,002437,誉衡药业,10.175437927246094,3.14,892686464,6598308372.02,7051779745.92,13.89184856414795,59993474,095957,103233,1,1/1,1,化学制药,2025-07-10
24,000635,英 力 特,9.966776847839355,9.93,148218844,3009659887.86,3013623288.48,4.961328029632568,45694384,094603,094918,1,1/1,1,化学原料,2025-07-10
19,603716,塞力医疗,10.008591651916504,25.61,1404309328,4891972900.75,4891972900.75,29.40195083618164,20021872,093815,143418,15,8/5,1,医药商业,2025-07-10
3,688585,上纬新材,20.021413803100586,11.21,10306978,4521684970.88,4521684970.88,0.22794552147388458,1203566066,092502,092502,0,2/2,2,塑料制品,2025-07-10
15,603093,南华期货,10.01742172241211,25.26,1171625408,15410264457.18,15410264330.880001,7.73919677734375,31484064,093249,143913,11,2/2,2,多元金融,2025-07-10
57,603848,好太太,10.0,17.49,246467135,7038089877.389999,7038089894.879999,3.692289352416992,44104095,141441,141441,0,1/1,1,家用轻工,2025-07-10
40,600111,北方稀土,10.020366668701172,27.01,7843432192,97642928392.42,97642928338.40001,8.214296340942383,419154495,110605,110605,0,1/1,1,小金属,2025-07-10
54,300778,新城市,19.988801956176758,21.43,1168209968,4363565584.98,4373007214.38,30.892908096313477,21152888,135748,144709,4,2/2,2,工程咨询,2025-07-10
55,836892,广咨国际,29.96474838256836,22.12,327099728,3234299446.28,3768171928.36,11.329668045043945,1635729,135823,145517,12,1/1,1,工程咨询,2025-07-10
53,600939,重庆建工,10.115607261657715,3.81,284155552,7245874725.900001,7245874703.04,4.0521321296691895,112072232,135727,135727,0,1/1,1,工程建设,2025-07-10
56,002628,成都路桥,10.044642448425293,4.93,467399680,3717487955.3599997,3732505050.8799996,13.04554557800293,49912799,140703,140703,0,1/1,1,工程建设,2025-07-10
7,000010,美丽生态,10.030394554138184,3.62,277807584,1994371526.8200002,4161741282.56,14.058121681213379,50716196,093006,093654,1,2/2,2,工程建设,2025-07-10
51,000029,深深房Ａ,10.02143669128418,20.53,431234320,18305779800.0,20769379800.0,2.452443838119507,5963923,133721,144703,7,1/1,1,房地产开,2025-07-10
12,000514,渝 开 发,9.935897827148438,6.86,526592496,5788268819.900001,5788268785.6,9.246199607849121,97567200,093112,093430,2,4/4,4,房地产开,2025-07-10
58,600340,华夏幸福,10.222222328186035,2.48,802742912,9655520553.76,9706026433.28,8.720418930053711,63842689,141548,141548,0,1/1,1,房地产开,2025-07-10
59,002314,南山控股,9.876543045043945,3.56,929717392,4764433578.84,9639705742.72,20.54100799560547,10881510,141957,144818,5,7/4,1,房地产开,2025-07-10
30,600606,绿地控股,9.883721351623535,1.89,602621200,26562472613.46,26562472473.6,2.3081209659576416,67614942,095733,105433,4,1/1,1,房地产开,2025-07-10
52,600622,光大嘉宝,9.966776847839355,3.31,642221280,4963958680.62,4963958700.4800005,13.391311645507812,73771294,135520,135520,0,1/1,1,房地产开,2025-07-10
6,000607,华媒控股,10.091742515563965,6.0,373645808,5310200664.0,6106190496.0,7.051151275634766,211418718,093000,093000,0,3/3,3,文化传媒,2025-07-10
9,000892,欢瑞世纪,10.058026313781738,5.69,1381011120,4044659423.26,5581778931.200001,34.50978469848633,18937458,093021,130906,9,6/3,2,文化传媒,2025-07-10
5,605122,四方新材,10.006373405456543,17.26,30390873,2974830040.0000005,2974830040.0000005,1.021600365638733,679392107,092503,092503,0,4/4,4,水泥建材,2025-07-10
38,000935,四川双马,9.983810424804688,20.38,755985520,15558913986.539999,15558914047.679998,5.004799842834473,34506458,105457,132409,1,1/1,1,水泥建材,2025-07-10
21,000723,美锦能源,9.911893844604492,4.99,1736841952,21937260424.260002,21973345080.32,8.04025650024414,8707385,094112,145327,6,1/1,1,煤炭行业,2025-07-10
49,600233,圆通速递,10.0,13.97,1318985936,47780559147.86,47780559231.68,2.8715131282806396,69978803,133328,133831,1,1/1,1,物流行业,2025-07-10
41,002468,申通快递,10.0,12.1,612214928,18053752449.7,18522706136.0,3.4862987995147705,47372697,110803,110803,0,1/1,1,物流行业,2025-07-10
36,605006,山东玻纤,10.023041725158691,9.55,609991600,5730088834.1,5834663263.200001,11.142677307128906,68719890,101449,101449,0,3/2,1,玻璃玻纤,2025-07-10
11,603590,康辰药业,10.00540828704834,40.68,292648720,6396420564.36,6482621484.36,4.5920090675354,56962739,093048,094318,6,1/1,1,生物制品,2025-07-10
10,600475,华光环能,9.982068061828613,18.4,427768672,17349097413.6,17589769395.199997,2.486307382583618,94027680,093028,093140,1,6/6,6,电源设备,2025-07-10
1,002121,科陆电子,10.017574310302734,6.26,199047355,8763514249.039999,10396712466.88,2.2713189125061035,246772317,092500,092500,0,2/2,2,电网设备,2025-07-10
26,002546,新联电子,9.930313110351562,6.31,762932128,5055774525.759999,5262849846.24,15.357861518859863,43097741,094651,105251,7,1/1,1,电网设备,2025-07-10
48,601718,际华集团,9.898476600646973,4.33,2267563936,19015755319.32,19015754920.96,12.474451065063477,24856629,132150,145535,4,1/1,1,纺织服装,2025-07-10
44,002674,兴业科技,10.040567398071289,10.85,342581168,3174315624.2,3206727742.4,10.884791374206543,29673665,112342,130130,1,1/1,1,纺织服装,2025-07-10
61,603130,云中马,10.0,36.63,326912048,1870454173.5000002,5037145146.0,18.59144401550293,38764173,143552,143746,1,1/1,1,纺织服装,2025-07-10
22,603856,东宏股份,10.025707244873047,12.84,179212358,3292363464.0,3621599861.7599998,5.480167865753174,40867665,094406,095448,1,1/1,1,装修建材,2025-07-10
45,601696,中银证券,10.027854919433594,11.85,2307674496,32919300000.0,32919300000.0,7.180781841278076,101544226,130153,132359,2,1/1,1,证券,2025-07-10
39,600250,南京商旅,9.967845916748047,13.68,653932032,4248924264.72,4248924168.96,16.288860321044922,74112768,110321,110321,0,4/2,1,贸易行业,2025-07-10
8,002356,赫美集团,10.119048118591309,3.7,300022672,4851641727.7,4851641753.6,6.250626087188721,39871311,093015,094124,1,2/2,2,贸易行业,2025-07-10
28,002640,跨境通,10.091742515563965,6.0,4091155824,8383050006.0,9348247968.0,49.87066650390625,84106800,095248,141836,3,2/2,2,贸易行业,2025-07-10
33,300996,普联软件,20.0,19.08,1436389184,4519762918.919999,5395366995.839999,32.97005081176758,18171792,100133,143521,6,1/1,1,软件开发,2025-07-10
2,002633,申科股份,9.97286319732666,16.21,27856075,2422077937.5,2431500000.0,1.150089979171753,91501397,092500,092500,0,1/1,1,通用设备,2025-07-10
43,605500,森林包装,10.024855613708496,13.28,623340064,5503232000.0,5503232000.0,12.063005447387695,59927128,112230,112230,0,6/6,6,造纸印刷,2025-07-10
