序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
28,002730,电光科技,10.0,18.59,597779376,6432695469.2,6731065117.92,9.688874244689941,107660267,102003,102003,0,8/4,1,专用设备,2025-05-14
31,603488,展鹏科技,9.97652530670166,9.37,302142848,2735950422.7999997,2735950497.7599998,11.69174861907959,31752231,105441,105441,0,5/3,1,专用设备,2025-05-14
8,002651,利君股份,9.99074935913086,11.89,923326800,6723362691.490001,12287839400.0,13.76061725616455,101262492,093000,095030,6,6/6,6,专用设备,2025-05-14
18,600410,华胜天成,9.989701271057129,10.68,1988258912,11710563214.44,11710563267.84,17.4672908782959,208980996,094325,094325,0,1/1,1,互联网服,2025-05-14
42,300399,天利科技,20.0,25.44,1116508736,5026453644.0,5026944000.0,23.18598747253418,51004656,131430,142818,8,1/1,1,互联网服,2025-05-14
61,002819,东方中科,9.986504554748535,32.6,955380480,7665117314.8,9767241142.4,13.297101020812988,147496450,145024,145024,0,1/1,1,仪器仪表,2025-05-14
47,601319,中国人保,10.013350486755371,8.24,1969211024,292501514243.92,364405681950.72003,0.6928271651268005,90049348,133445,143039,1,1/1,1,保险,2025-05-14
38,002688,金河生物,9.951845169067383,6.85,845554016,5103687488.95,5286106640.0,17.321941375732422,95401320,130318,130318,0,1/1,1,农药兽药,2025-05-14
63,000565,渝三峡Ａ,9.97150993347168,11.58,1630542800,5020997907.6,5020997953.92,34.649085998535156,52518994,145442,145442,0,11/7,1,化学制品,2025-05-14
15,600370,三房巷,10.052909851074219,2.08,84260794,8104980884.0,8104980881.92,1.0596592426300049,22434776,093335,093335,0,1/1,1,化学制品,2025-05-14
24,600800,渤海化学,9.89011001586914,4.0,734510592,4438920864.0,4440180864.0,16.836563110351562,13473196,100024,143906,7,1/1,1,化学制品,2025-05-14
3,002909,集泰股份,10.015897750854492,6.92,41879840,2636546005.36,2698800000.0,1.5884357690811157,163149380,092500,092500,0,2/2,2,化学制品,2025-05-14
35,002365,永安药业,10.017730712890625,12.41,546217328,3047400853.41,3657009775.36,18.44605255126953,138515207,111057,111057,0,1/1,1,化学制药,2025-05-14
22,600610,中毅达,10.030628204345703,14.37,1682678512,10184402750.85,15394216116.96,16.848901748657227,39234411,095831,142022,3,6/3,2,化学原料,2025-05-14
19,002136,安 纳 达,10.010649681091309,10.33,204436123,2215328000.8,2221156600.0,9.331406593322754,52170601,094524,100112,1,1/1,1,化学原料,2025-05-14
62,001255,博菲电气,10.010110855102539,32.64,144842854,652800000.0,2611200000.0,23.7278995513916,36973612,145312,145312,0,1/1,1,化学原料,2025-05-14
6,603332,苏州龙杰,10.038313865661621,14.36,652460992,3106745562.24,3106745562.24,21.123905181884766,30455061,092503,094912,2,4/4,4,化纤行业,2025-05-14
14,002427,尤夫股份,10.0,7.81,781051136,7690951084.41,7696230043.04,10.29404067993164,44429043,093218,094624,5,2/2,2,化纤行业,2025-05-14
21,000420,吉林化纤,9.919570922851562,4.1,1259877872,10077915386.3,10081360177.599998,12.702800750732422,33624100,095551,134815,1,1/1,1,化纤行业,2025-05-14
2,002551,尚荣医疗,10.025062561035156,4.39,509423312,2682365112.8999996,3711721188.64,18.994356155395508,80578823,092500,100112,2,3/3,3,医疗器械,2025-05-14
30,601086,国芳集团,10.016977310180664,12.96,1326006432,8631360000.0,8631360000.0,16.082172393798828,34955712,103624,144042,3,26/15,1,商业百货,2025-05-14
48,002961,瑞达期货,10.02656078338623,16.57,342988400,7374240256.54,7374240157.12,4.819187164306641,53120106,133724,142709,1,1/1,1,多元金融,2025-05-14
29,000678,襄阳轴承,10.0,18.15,1969871648,8341954115.549999,8341954024.799999,24.615684509277344,133562728,103112,103112,0,6/3,1,汽车零部,2025-05-14
1,002190,成飞集成,10.014836311340332,29.66,593957728,10639912313.38,10639912343.04,5.582355499267578,452076325,092500,092500,0,6/6,6,汽车零部,2025-05-14
53,600794,保税科技,9.97624683380127,4.63,1063330128,5556704486.91,5556704500.8,20.134092330932617,79067750,141831,141831,0,1/1,1,物流行业,2025-05-14
43,603836,海程邦达,9.97697639465332,14.33,195809128,2941020946.21,2941020946.21,6.934768199920654,36442623,131657,131657,0,1/1,1,物流行业,2025-05-14
60,600119,长江投资,10.025707244873047,8.56,196595536,3126714367.2000003,3126714350.0800004,6.588293075561523,50637450,143754,143754,0,1/1,1,物流行业,2025-05-14
50,300240,飞力达,20.048900604248047,9.82,1034497664,3568380591.78,3648748110.08,32.16843032836914,102899380,135700,135700,0,1/1,1,物流行业,2025-05-14
58,603128,华贸物流,10.030394554138184,7.24,1526238432,9477496616.56,9477496631.04,16.916170120239258,16102484,143522,143522,0,1/1,1,物流行业,2025-05-14
56,603569,长久物流,10.038609504699707,8.55,429131728,5159986996.05,5159986970.400001,8.67321491241455,18800766,142926,143523,2,1/1,1,物流行业,2025-05-14
55,872351,华光源海,29.99665069580078,38.83,736708752,1369162846.37,3418416096.37,62.705936431884766,17064581,142701,142752,1,1/1,1,物流行业,2025-05-14
54,603967,中创物流,10.033166885375977,13.27,471461888,4600267241.7,4600267162.08,10.768957138061523,42492928,142225,142225,0,1/1,1,物流行业,2025-05-14
52,603535,嘉诚国际,10.044150352478027,9.97,381112256,4762562301.06,5093801892.160001,8.373092651367188,58734925,141718,141718,0,1/1,1,物流行业,2025-05-14
40,600644,乐山电力,9.964726448059082,12.47,1436495984,6713856217.7300005,7211660575.52,22.390361785888672,38714362,131019,145616,1,1/1,1,电力行业,2025-05-14
7,000576,甘化科工,10.054644584655762,10.07,277702080,4368893557.2300005,4394731354.56,6.361887454986572,169050114,093000,093000,0,4/2,1,电源设备,2025-05-14
23,000637,茂化实华,10.10929012298584,4.03,173127994,1483097447.65,2095097700.8000002,11.906474113464355,41502813,095921,102800,1,1/1,1,石油行业,2025-05-14
46,605138,盛泰集团,9.97150993347168,7.72,211072524,4288941851.52,4288941851.52,5.213840961456299,57480279,133238,133238,0,2/2,2,纺织服装,2025-05-14
37,600735,新华锦,10.0,7.26,466148992,3088780264.02,3112929906.24,15.643892288208008,37822059,130122,130122,0,1/1,1,纺织服装,2025-05-14
39,002404,嘉欣丝绸,9.95106029510498,6.74,185168789,3072005027.04,3774747352.6400003,6.201281547546387,39943106,130433,130433,0,1/1,1,纺织服装,2025-05-14
44,605055,迎丰股份,10.0130033493042,8.46,415404688,3722400000.0000005,3722400000.0000005,12.22443962097168,12774600,132215,132648,3,4/4,4,纺织服装,2025-05-14
5,600770,综艺股份,10.0,4.51,43586566,5863000000.0,5863000000.0,0.7434174418449402,270990444,092503,092503,0,1/1,1,综合行业,2025-05-14
45,002094,青岛金王,10.061349868774414,8.97,3124590528,6193368334.530001,6197351041.440001,52.893516540527344,37459617,132609,144803,6,2/2,2,美容护理,2025-05-14
4,600798,宁波海运,10.119048118591309,3.7,89954174,4464176543.7,4464176569.6,2.0150227546691895,288390065,092501,092501,0,2/2,2,航运港口,2025-05-14
59,000520,凤凰航运,10.019646644592285,5.6,990727520,5667667348.0,5667667353.599999,18.12563705444336,93475452,143624,143624,0,2/2,2,航运港口,2025-05-14
